Statistic;Per 90;Percentile
xG: Expected Goals;0,3;21
npxG: Non-Penalty xG;0,3;34
Goals/Shot on Target;0,34;39
Average Shot Distance;20,5;1
npxG/Shot;0,08;2
Passes Offside;0,35;3
Passes Blocked;1,18;8
Challenges Lost;0,9;3
Shots Blocked;0,03;21
Times Tackled During Take-On;2,11;5
Miscontrols;2,77;38
Dispossessed;1,91;18
Penalty Kicks Conceded;0,03;6
Aerials Won;0,45;5
