Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
238,Agustín Giay,ar ARG,DF,Palmeiras,21-250,2004,18,14,1345,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,24,64,44,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,5,0,0.0,0.33,0.00,0.00,,21.8,0,0.04,-0.2,-0.2,686,835,82.2,12210,4391,314,346,90.8,293,347,84.4,73,110,66.4,0.4,-0.8,11,55,5,3,681,152,0,3,25,124,2,0,0,0,2,16,33,2.21,28,3,0,1,1,1,0.07,1,0,0,0,0,43,33,23,15,5,27,67.5,13,11,13,56,42,2,997,49,6,6,35.3,9,52.9,507,0,18,6,591,75,67.9,90,14,4,21,3,2.39,22,13,+9,+0.60,-0.67,21.8,13.0,+8.9,+0.59,-0.35,0,18,0,0,0,60,19,63.3
566,Agustín Rogel,uy URU,DF,Internacional,27-341,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2,0,0.0,0.40,0.00,0.00,,10.2,0,0.04,-0.1,-0.1,208,230,90.4,4019,1318,63,69,91.3,122,132,92.4,20,25,80.0,0.0,0.0,0,6,0,0,226,3,0,1,0,0,0,0,0,0,1,0,5,1.00,3,0,0,0,0,1,0.20,0,0,0,0,0,9,6,6,3,0,5,55.6,4,1,1,10,27,0,275,26,3,0,,0,,158,0,1,1,193,90,21.7,90,5,0,,7,1.00,4,6,-2,-0.40,-0.07,6.7,4.0,+2.7,+0.54,+0.18,0,6,0,0,0,11,10,62.5
585,Agustín Rossi,ar ARG,GK,Flamengo,30-033,1995,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,547,657,83.3,13462,8276,108,109,99.1,299,303,98.7,134,236,56.8,0.2,0.0,0,8,0,0,550,105,1,2,0,0,0,0,0,0,2,1,7,0.30,7,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,3,701,604,0,1,100.0,0,0.0,434,0,0,0,407,90,100.0,90,23,0,,0,2.22,48,11,+37,+1.61,,36.2,16.5,+19.7,+0.85,,0,0,0,0,0,53,4,80.0
594,Agustín Sant'Anna,uy URU,DF,RB Bragantino,27-361,1997,9,4,366,4.1,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,5,14,17,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches,10,1,10.0,2.46,0.25,0.00,0.00,26.1,3,0.05,-0.5,-0.5,157,205,76.6,3047,1040,65,71,91.5,65,81,80.2,25,42,59.5,0.4,-0.3,7,15,4,3,160,45,0,4,24,24,12,2,10,0,0,6,13,3.20,5,6,0,0,1,0,0.00,0,0,0,0,0,11,7,4,4,3,7,46.7,8,4,9,20,16,1,269,15,6,1,16.7,5,83.3,116,0,4,2,133,41,16.9,67,2,5,20,3,1.22,3,6,-3,-0.74,-0.59,4.0,5.3,-1.3,-0.32,-0.18,0,8,0,0,0,13,8,50.0
108,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-225,1996,5,4,299,3.3,0,1,1,0,0,0,1,0,0.6,0.6,1.2,1.9,5,8,15,0.00,0.30,0.30,0.00,0.30,0.19,0.37,0.56,0.19,0.56,Matches,7,3,42.9,2.11,0.90,0.00,0.00,17.3,0,0.09,-0.6,-0.6,70,95,73.7,1202,369,35,40,87.5,27,36,75.0,6,16,37.5,1.0,-0.2,12,2,4,2,82,13,0,1,16,0,6,1,5,0,0,2,15,4.52,12,2,0,1,0,1,0.30,1,0,0,0,0,1,1,1,0,0,1,50.0,1,2,0,1,3,0,118,1,9,1,50.0,1,50.0,59,1,4,1,72,60,13.8,70,0,1,20,2,0.80,3,10,-7,-2.11,-1.67,3.3,5.6,-2.3,-0.71,-0.31,0,3,0,0,0,16,2,50.0
71,Alan Benítez,py PAR,"DF,FW",Internacional,31-241,1994,6,3,337,3.7,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,9,20,21,0.00,0.00,0.00,0.00,0.00,0.18,0.09,0.27,0.18,0.27,Matches,3,3,100.0,0.80,0.80,0.00,0.00,13.5,0,0.22,-0.7,-0.7,165,211,78.2,2670,1117,82,92,89.1,67,86,77.9,11,19,57.9,0.3,-0.3,5,15,6,1,175,36,0,0,10,32,0,0,0,0,0,7,11,2.94,11,0,0,0,0,3,0.80,3,0,0,0,0,8,3,3,5,0,5,62.5,3,2,1,9,12,0,243,12,9,2,100.0,0,0.0,116,1,3,2,154,56,16.3,81,2,3,31,5,1.50,7,7,0,0.00,+0.42,6.1,4.3,+1.8,+0.48,+0.10,0,4,0,0,0,13,2,28.6
213,Alan Franco,ec ECU,MF,Atlético Mineiro,27-033,1998,18,18,1548,17.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,55,11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,3,0,0.0,0.17,0.00,0.00,,21.4,0,0.06,-0.2,-0.2,741,822,90.1,11721,3452,346,370,93.5,331,358,92.5,36,45,80.0,0.3,-0.1,8,57,2,0,769,49,0,0,2,9,0,0,0,0,4,10,24,1.40,23,0,0,0,1,1,0.06,1,0,0,0,0,33,22,15,13,5,13,76.5,4,5,18,51,25,0,925,32,3,3,75.0,1,25.0,531,0,8,2,608,86,78.2,86,15,0,,0,1.00,15,20,-5,-0.29,-0.29,17.8,16.4,+1.4,+0.08,+0.01,0,23,0,0,0,58,13,56.5
214,Alan Franco,ar ARG,DF,São Paulo,28-347,1996,18,17,1454,16.2,0,0,0,0,0,0,5,0,1.0,1.0,0.3,1.3,3,35,1,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,3,0,0.0,0.17,0.00,0.00,,21.4,0,0.06,-0.2,-0.2,741,822,90.1,11721,3452,346,370,93.5,331,358,92.5,36,45,80.0,0.3,-0.1,8,57,2,0,769,49,0,0,2,9,0,0,0,0,4,10,24,1.40,23,0,0,0,1,1,0.06,1,0,0,0,0,33,22,15,13,5,13,76.5,4,5,18,51,25,0,925,32,3,3,75.0,1,25.0,531,0,8,2,608,86,78.2,86,15,0,,0,1.00,15,20,-5,-0.29,-0.29,17.8,16.4,+1.4,+0.08,+0.01,0,23,0,0,0,58,13,56.5
481,Alan Patrick,br BRA,"MF,FW",Internacional,34-133,1991,17,17,1425,15.8,7,6,13,2,5,6,3,0,6.3,1.6,8.1,9.6,28,109,73,0.44,0.38,0.82,0.13,0.51,0.40,0.51,0.91,0.10,0.61,Matches,23,8,34.8,1.45,0.51,0.09,0.25,25.1,9,0.07,+0.7,+0.4,648,795,81.5,10700,3461,320,357,89.6,249,284,87.7,59,104,56.7,7.0,-2.1,65,84,30,0,680,110,6,3,81,2,64,27,25,0,5,12,107,6.76,62,32,8,2,0,10,0.63,5,3,2,0,0,16,11,3,10,3,14,58.3,10,10,3,19,5,1,944,6,47,18,41.9,24,55.8,553,11,42,37,708,84,68.8,84,11,0,,0,1.47,23,21,+2,+0.13,+1.52,27.3,17.3,+10.0,+0.63,+0.77,0,16,0,0,0,64,4,20.0
560,Alan Rodríguez,uy URU,MF,Internacional,25-241,2000,7,6,501,5.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,6,13,17,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,4,1,25.0,0.72,0.18,0.00,0.00,21.5,0,0.08,-0.3,-0.3,169,206,82.0,2177,618,105,119,88.2,54,59,91.5,2,9,22.2,0.2,-0.2,5,10,3,1,201,3,2,0,5,0,0,0,0,0,2,6,12,2.16,10,0,2,0,0,1,0.18,1,0,0,0,0,13,5,4,4,5,4,44.4,5,2,6,19,4,0,267,9,9,8,47.1,8,47.1,147,2,11,10,175,72,24.2,79,3,1,28,0,0.86,9,11,-2,-0.36,-0.02,8.4,6.6,+1.8,+0.32,-0.09,0,6,0,0,0,30,3,37.5
