Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Min%;PPM;+/-90;On-Off;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;Sh_per90;SoT_per90;Dist_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;Fld_per90;Off_per90;Crs_per90;Int_per90;TklW_per90;PKwon_per90;PKcon_per90;OG_per90
87,0;Andreas Cornelius;dk DEN;FW;FC Copenhagen;31,0;1993,0;12,4;0,24;0,32;0,56;0,24;0,56;Matches;35,5;2,5;0,89;0,1;0,27;38,8;2,0;0,97;0,2;1,53;0,97;90,16;0,24;0,32;0,56;0,24;0,0;0,0;0,32;0,0;2,5;0,89;;4,76;6,53;0,48;0,56;1,69;0,0;2,1;1,13;0,97;0,0;2,58;0,89;0,73;0,08;0,24;0,32;;;0,0
142,0;Andreas Hansen;dk DEN;GK;Nordsjælland;28,0;1995,0;30,0;0,0;0,0;0,0;0,0;0,0;Matches;;0,0;0,0;;;93,8;1,53;0,0;1,5;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;3,0;3,0;1,0;0,0;;0,07;1,77;1,77;0,0;0,0;0,0;0,03;0,0;0,0;0,03;0,03;;;0,03
269,0;Andreas Oggesen;dk DEN;DF,MF;SønderjyskE;30,0;1994,0;27,4;0,0;0,22;0,22;0,0;0,22;Matches;0,0;0,11;0,0;0,0;;85,6;1,23;-0,55;-0,11;1,09;0,99;90,0;0,0;0,22;0,22;0,0;0,0;0,0;0,15;0,0;0,11;0,0;;2,99;3,21;0,73;0,11;1,13;0,0;1,5;2,04;-0,55;0,0;0,58;0,33;0,0;2,92;0,51;0,88;;;0,0
286,0;Andreas Poulsen;dk DEN;DF;Silkeborg;24,0;1999,0;16,5;0,0;0,12;0,12;0,0;0,12;Matches;0,0;1,46;0,0;0,0;;51,5;1,77;0,55;0,16;1,27;0,97;89,94;0,0;0,12;0,12;0,0;0,0;0,0;0,12;0,0;1,45;0,0;;4,3;5,09;0,36;0,3;1,7;0,48;1,76;1,21;0,55;0,0;0,67;0,55;0,24;4,12;1,15;1,09;;;0,0
175,0;Andres Jasson;us USA;MF,FW;Aalborg;22,0;2002,0;16,9;0,06;0,18;0,24;0,06;0,24;Matches;16,0;1,48;0,24;0,04;0,25;52,7;0,74;-0,95;0,17;1,83;0,95;89,76;0,06;0,18;0,24;0,06;0,0;0,0;0,3;0,0;1,48;0,24;;2,9;4,5;0,24;0,89;1,18;0,0;1,07;2,01;-0,95;0,0;1,66;2,84;0,06;1,54;0,95;1,42;;;0,0
307,0;André Rømer;dk DEN;MF;Randers;31,0;1993,0;21,2;0,05;0,09;0,14;0,05;0,14;Matches;0,0;1,39;0,0;0,0;;6,7;2,0;1,86;1,25;1,23;1,04;89,91;0,05;0,09;0,14;0,05;0,0;0,0;0,24;0,0;0,14;0,0;;2,31;4,25;0,05;0,14;1,65;0,05;0,19;0,0;0,19;0,0;0,05;0,09;0,0;0,0;0,09;0,09;;;0,0
112,0;Anosike Ementa;dk DEN;FW;Viborg;22,0;2002,0;12,3;0,24;0,08;0,32;0,24;0,32;Matches;37,0;2,19;0,81;0,11;0,3;38,5;1,42;-0,41;-1,02;2,52;0,65;90,24;0,24;0,08;0,33;0,24;0,0;0,0;0,16;0,0;2,2;0,81;;2,93;6,67;0,41;1,87;1,63;0,08;1,46;1,87;-0,41;0,0;2,2;1,79;0,16;0,16;0,49;0,33;;;0,0
321,0;Aral Şimşir;dk DEN;MF,FW;Midtjylland;22,0;2002,0;15,5;0,19;0,39;0,58;0,13;0,52;Matches;33,3;2,33;0,78;0,06;0,17;48,3;2,0;0,52;-0,33;1,48;0,97;89,81;0,19;0,39;0,58;0,13;0,06;0,06;0,0;0,0;2,32;0,77;;3,94;4,9;0,39;0,52;2,0;0,0;2,0;1,48;0,52;0,0;0,45;2,0;0,0;3,81;0,13;0,13;;;0,0
44,0;Asker Beck;dk DEN;MF;Viborg;21,0;2003,0;5,8;0,0;0,0;0,0;0,0;0,0;Matches;26,7;2,58;0,69;0,0;0,0;18,2;1,67;-0,34;-0,69;2,07;0,86;90,34;0,0;0,0;0,0;0,0;0,0;0,0;0,17;0,0;2,59;0,69;;7,59;14,14;0,17;1,21;2,93;0,17;1,38;1,72;-0,34;0,0;1,38;1,03;0,0;0,69;0,17;1,55;;;0,0
39,0;Atli Barkarson;is ISL;DF,MF;SønderjyskE;23,0;2001,0;4,0;0,0;0,0;0,0;0,0;0,0;Matches;0,0;1,0;0,0;0,0;;12,5;0,25;-1,75;-1,39;1,0;1,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;22,5;22,5;1,0;0,0;;0,0;0,25;2,0;-1,75;0,0;1,5;0,5;0,25;8,0;0,75;0,75;;;0,0
302,0;Baptiste Rolland;fr FRA;DF;Lyngby;21,0;2003,0;3,6;0,0;0,0;0,0;0,0;0,0;Matches;25,0;1,1;0,28;0,0;0,0;11,4;1,0;0,55;1,22;1,94;1,39;90,83;0,0;0,0;0,0;0,0;0,0;0,0;0,28;0,0;1,11;0,28;;13,06;15,28;0,0;0,56;7,5;3,61;1,39;0,83;0,56;0,0;1,39;1,39;0,0;1,11;1,94;2,22;;;0,0
266,0;Benjamin Nygren;se SWE;FW,MF;Nordsjælland;23,0;2001,0;28,3;0,53;0,07;0,6;0,53;0,6;Matches;48,8;2,89;1,41;0,18;0,38;88,6;1,4;-0,32;-1,96;1,06;0,99;90,14;0,53;0,07;0,6;0,53;0,0;0,04;0,04;0,0;2,9;1,41;;3,0;3,11;0,74;0,07;1,34;0,0;1,55;1,87;-0,32;0,0;1,06;0,88;0,0;1,1;0,35;0,85;;;0,0
