Rk;Player;Nation;Pos;Squad;Age;Born;90s;Matches;Touches_per90;Def Pen_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Att Pen_per90;Live_per90;Att_per90;Succ_per90;Succ%_per90;Tkld_per90;Tkld%_per90;Carries_per90;TotDist_per90;PrgDist_per90;PrgC_per90;1/3_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;PrgR_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Sh_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Sh.1_per90;Fld.1_per90;Def.1_per90
492;Budu Zivzivadze;ge GEO;FW;Heidenheim;31-075;1994,0;10,6;Matches;31,32;0,66;2,45;14,91;14,34;3,49;31,32;2,83;0,85;2,83;1,79;5,97;17,45;85,28;34,91;1,04;1,13;0,19;2,55;1,51;20,66;4,06;2,45;0,23;2,08;0,0;0,09;0,09;0,09;0,09;0,38;0,04;0,28;0,0;0,0;0,09;0,0;0,0
448;Can Uzun;tr TUR;MF,FW;Eint Frankfurt;19-194;2005,0;7,5;Matches;52,67;0,53;4,4;25,47;23,2;4,13;52,67;2,93;1,47;6,67;1,2;5,45;35,33;182,4;69,73;1,47;1,73;0,53;2,53;1,87;42,0;6,0;5,07;0,67;3,2;0,27;0,8;0,4;0,13;0,27;0,4;0,05;0,27;0,0;0,0;0,0;0,0;0,13
197;Carl Johansson;se SWE;DF;Holstein Kiel;31-001;1994,0;6,3;Matches;62,86;14,6;42,06;19,05;2,38;1,75;62,86;0,0;0,0;;0,0;;24,6;78,25;30,0;0,0;0,0;0,0;0,32;0,0;34,6;0,0;1,27;0,2;1,27;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
56;Carlo Boukhalfa;ma MAR;MF;St. Pauli;26-021;1999,0;18,3;Matches;35,57;1,53;6,45;17,21;12,13;1,58;35,57;1,53;0,66;2,34;0,87;3,12;15,85;70,0;26,56;0,55;0,49;0,16;1,69;1,09;21,48;2,4;1,97;0,11;1,37;0,0;0,05;0,33;0,16;0,05;0,11;0,01;0,11;0,0;0,0;0,0;0,0;0,0
250;Castello Lukeba;fr FRA;DF;RB Leipzig;22-158;2002,0;17,5;Matches;82,57;7,14;31,83;44,11;7,54;0,8;82,57;1,83;1,14;3,57;0,46;1,43;46,06;202,57;110,0;1,03;1,2;0,11;1,14;0,63;56,74;1,31;0,97;0,06;0,8;0,06;0,11;0,0;0,0;0,0;0,06;0,0;0,06;0,0;0,0;0,0;0,0;0,0
489;Cedric Zesiger;ch SUI;DF;Augsburg;26-334;1998,0;13,6;Matches;56,69;7,43;25,07;27,28;4,49;0,66;56,69;0,29;0,07;1,84;0,22;5,51;29,26;128,68;59,93;0,29;0,66;0,0;0,59;0,22;31,18;0,51;0,96;0,07;0,81;0,07;0,0;0,07;0,0;0,0;0,22;0,02;0,22;0,0;0,0;0,0;0,0;0,0
490;Cedric Zesiger;ch SUI;DF;Wolfsburg;26-334;1998,0;5,8;Matches;52,24;8,28;26,38;22,59;3,28;0,0;52,24;0,52;0,52;17,24;0,0;0,0;23,28;112,59;51,55;0,52;0,0;0,0;0,17;0,17;26,55;0,34;2,24;0,17;1,9;0,17;0,0;0,17;0,0;0,0;0,52;0,04;0,52;0,0;0,0;0,0;0,0;0,0
125;Chris Führich;de GER;MF,FW;Stuttgart;27-135;1998,0;22,0;Matches;55,45;0,91;4,95;19,91;31,23;5,23;55,45;3,86;1,82;2,14;1,91;2,25;35,55;276,68;143,68;5,18;3,09;2,45;1,68;1,18;41,14;9,18;3,86;0,18;3,09;0,27;0,18;0,32;0,0;0,0;0,36;0,02;0,27;0,05;0,0;0,05;0,0;0,0
267;Chrislain Matsima;fr FRA;DF;Augsburg;23-009;2002,0;28,3;Matches;58,98;8,09;24,73;29,89;4,88;0,85;58,98;0,42;0,25;2,06;0,14;1,18;32,16;125,72;61,17;0,49;0,64;0,07;0,71;0,32;34,95;0,46;0,6;0,02;0,6;0,0;0,0;0,0;0,0;0,0;0,04;0,0;0,04;0,0;0,0;0,0;0,0;0,0
158;Christian Günter;de GER;DF;Freiburg;32-085;1993,0;25,7;Matches;50,74;2,45;14,01;20,27;16,61;1,05;50,74;0,35;0,12;1,3;0,23;2,6;21,75;82,68;37,74;0,74;0,74;0,27;0,58;0,16;29,73;4,24;2,06;0,08;1,56;0,31;0,0;0,12;0,08;0,0;0,16;0,01;0,12;0,04;0,0;0,0;0,0;0,0
32;Christoph Baumgartner;at AUT;MF;RB Leipzig;25-296;1999,0;17,9;Matches;50,84;2,74;9,33;25,2;17,37;3,63;50,84;2,35;0,95;2,26;1,06;2,53;24,47;143,91;80,11;2,07;1,96;0,39;2,63;1,73;32,12;5,31;2,35;0,13;1,73;0,0;0,17;0,34;0,06;0,06;0,34;0,02;0,17;0,0;0,06;0,11;0,0;0,0
441;Christopher Trimmel;at AUT;DF,MF;Union Berlin;38-089;1987,0;19,3;Matches;50,73;4,72;15,54;22,12;13,26;0,67;50,73;0,41;0,1;1,3;0,26;3,24;18,91;81,97;35,8;0,93;0,36;0,1;0,52;0,41;21,92;2,33;2,95;0,15;1,55;1,3;0,0;0,05;0,05;0,0;0,31;0,02;0,16;0,16;0,0;0,0;0,0;0,0
272;Connor Metcalfe;au AUS;MF,FW;St. Pauli;25-200;1999,0;4,0;Matches;39,0;2,5;9,5;17,25;13,0;1,0;39,0;1,5;0,75;12,5;0,25;4,18;14,5;74,0;41,25;1,5;1,25;0,5;1,25;0,0;20,0;2,75;1,5;0,38;0,5;0,5;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
401;Danel Sinani;lu LUX;FW,MF;St. Pauli;28-049;1997,0;13,9;Matches;49,86;0,79;4,39;24,17;21,73;2,16;49,86;1,58;0,72;3,27;0,65;2,94;21,37;103,6;45,32;1,15;1,08;0,43;2,23;1,15;31,15;4,6;4,32;0,31;2,3;1,29;0,07;0,36;0,22;0,07;0,29;0,02;0,22;0,0;0,0;0,07;0,0;0,0
479;Dani de Wit;nl NED;MF,FW;Bochum;27-116;1998,0;12,8;Matches;43,59;2,11;7,58;24,61;11,41;2,89;43,59;0,62;0,08;0,98;0,39;4,88;19,06;63,67;24,61;0,39;0,31;0,0;0,86;0,23;24,3;2,89;1,72;0,13;1,09;0,08;0,0;0,31;0,16;0,08;0,16;0,01;0,0;0,0;0,0;0,08;0,08;0,0
422;Daniel Svensson;se SWE;DF,FW;Dortmund;23-101;2002,0;8,7;Matches;66,67;2,76;16,78;24,6;25,75;2,87;66,67;0,57;0,11;2,3;0,34;6,9;34,83;132,76;64,02;1,26;0,69;0,57;0,69;0,8;41,15;5,86;2,3;0,26;1,84;0,46;0,0;0,0;0,0;0,0;0,34;0,04;0,34;0,0;0,0;0,0;0,0;0,0
103;Danilho Doekhi;nl NED;DF;Union Berlin;26-328;1998,0;34,0;Matches;48,65;5,35;23,03;21,74;4,21;1,88;48,65;0,15;0,09;1,76;0,03;0,59;25,97;117,24;58,47;0,38;0,29;0,0;0,38;0,18;29,41;0,41;0,94;0,03;0,62;0,0;0,0;0,24;0,06;0,03;0,12;0,0;0,06;0,0;0,0;0,06;0,0;0,0
86;Danny da Costa;de GER;DF;Mainz 05;31-315;1993,0;22,3;Matches;65,07;4,39;25,38;35,02;5,16;0,09;65,07;0,76;0,36;2,11;0,4;2,37;36,46;155,29;72,33;0,94;0,85;0,09;0,99;0,31;39,73;0,99;1,39;0,06;1,3;0,0;0,04;0,0;0,0;0,04;0,13;0,01;0,13;0,0;0,0;0,0;0,0;0,0
200;David Jurásek;cz CZE;DF;Hoffenheim;24-290;2000,0;6,9;Matches;72,32;2,32;19,13;28,12;25,51;1,3;72,32;1,74;0,43;3,62;1,16;9,67;34,49;188,26;86,81;2,46;3,04;0,14;0,87;0,72;44,93;6,09;2,75;0,4;2,17;0,29;0,0;0,14;0,14;0,0;0,14;0,02;0,14;0,0;0,0;0,0;0,0;0,0
298;David Nemeth;at AUT;DF;St. Pauli;24-067;2001,0;23,7;Matches;56,46;6,67;28,1;26,24;2,45;0,42;56,46;0,38;0,17;1,87;0,21;2,35;29,41;154,85;78,19;0,59;0,38;0,0;0,51;0,13;35,15;0,21;0,34;0,01;0,3;0,04;0,0;0,0;0,0;0,0;0,08;0,0;0,04;0,04;0,0;0,0;0,0;0,0
352;David Raum;de GER;DF;RB Leipzig;27-032;1998,0;19,8;Matches;70,15;2,93;18,94;26,82;25,1;2,83;70,15;1,41;0,56;1,98;0,66;2,34;29,95;130,3;71,77;1,82;1,06;0,2;0,81;0,45;39,75;6,41;3,69;0,19;2,12;1,31;0,1;0,05;0,0;0,1;0,35;0,02;0,15;0,15;0,0;0,05;0,0;0,0
487;David Zec;si SVN;DF;Holstein Kiel;25-139;2000,0;17,1;Matches;61,35;12,05;38,25;21,23;2,28;1,4;61,35;0,53;0,29;3,25;0,23;2,6;30,82;133,8;68,6;0,18;0,18;0,06;0,64;0,29;37,02;0,12;0,76;0,04;0,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
446;Dayot Upamecano;fr FRA;DF;Bayern Munich;26-209;1998,0;19,5;Matches;107,74;4,92;32,1;69,95;5,95;0,87;107,74;0,31;0,15;2,56;0,15;2,56;73,85;365,23;213,59;0,87;1,38;0,0;0,31;0,21;83,69;0,21;1,03;0,05;1,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
454;Denis Vavro;sk SVK;DF;Wolfsburg;29-044;1996,0;27,3;Matches;69,63;11,21;36,34;30,88;2,64;0,73;69,63;0,22;0,11;1,83;0,11;1,83;37,95;150,55;62,75;0,33;0,44;0,07;0,29;0,04;41,83;0,11;0,99;0,04;0,7;0,0;0,04;0,18;0,04;0,04;0,18;0,01;0,07;0,0;0,0;0,11;0,0;0,0
445;Deniz Undav;de GER;FW,MF;Stuttgart;28-309;1996,0;19,2;Matches;41,51;0,57;3,18;19,74;19,22;6,15;41,51;1,25;0,52;2,17;0,68;2,82;24,43;109,74;50,21;1,61;0,94;0,62;2,66;1,46;32,5;7,34;3,02;0,16;2,29;0,0;0,0;0,57;0,0;0,16;0,42;0,02;0,21;0,0;0,0;0,16;0,0;0,05
131;Dennis Geiger;de GER;MF,FW;Hoffenheim;26-348;1998,0;8,2;Matches;53,78;1,71;10,24;31,71;12,07;0,98;53,78;0,98;0,49;6,1;0,24;3,05;31,59;161,71;73,78;1,46;1,83;0,24;1,1;0,98;36,95;2,56;3,17;0,39;2,8;0,12;0,12;0,0;0,12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
223;Derrick Köhn;de GER;DF,FW;Werder Bremen;26-109;1999,0;14,9;Matches;60,94;2,28;15,57;24,16;21,81;2,08;60,94;2,75;1,01;2,46;1,41;3,44;36,85;171,14;89,46;2,42;1,61;0,47;1,54;0,81;39,4;8,19;2,55;0,17;2,08;0,07;0,13;0,07;0,2;0,0;0,27;0,02;0,27;0,0;0,0;0,0;0,0;0,0
135;Dimitris Giannoulis;gr GRE;DF;Augsburg;29-219;1995,0;29,4;Matches;61,29;2,76;16,12;24,56;21,29;1,63;61,29;2,79;0,99;1,2;1,63;1,99;28,74;136,87;74,46;2,04;1,26;0,41;1,67;0,44;32,93;5,58;2,59;0,09;2,24;0,14;0,07;0,07;0,03;0,03;0,2;0,01;0,17;0,0;0,0;0,03;0,0;0,0
243;Diogo Leite;pt POR;DF;Union Berlin;26-121;1999,0;28,3;Matches;63,71;7,24;27,99;29,75;6,47;1,27;63,71;0,53;0,35;2,36;0,14;0,94;30,14;126,61;67,0;0,71;0,64;0,0;0,64;0,25;33,89;0,57;1,17;0,04;0,88;0,07;0,04;0,04;0,14;0,0;0,11;0,0;0,07;0,0;0,0;0,0;0,04;0,0
193;Dominik Javorček;sk SVK;DF,MF;Holstein Kiel;22-203;2002,0;4,3;Matches;51,4;6,98;24,19;13,95;13,26;0,47;51,4;1,16;0,93;18,6;0,23;4,65;21,16;106,98;57,91;1,63;0,47;0,0;1,16;0,23;26,28;5,35;1,63;0,38;0,93;0,7;0,0;0,0;0,0;0,0;0,47;0,11;0,23;0,23;0,0;0,0;0,0;0,0
224;Dominik Kohr;de GER;DF,MF;Mainz 05;31-113;1994,0;25,5;Matches;66,39;8,63;31,92;29,18;5,61;0,86;66,39;0,35;0,2;2,18;0,16;1,74;32,75;151,1;68,43;1,02;0,78;0,16;0,78;0,27;39,14;1,22;1,14;0,04;0,98;0,04;0,04;0,08;0,0;0,0;0,08;0,0;0,04;0,0;0,0;0,04;0,0;0,0
259;Donyell Malen;nl NED;FW,MF;Dortmund;26-135;1999,0;6,8;Matches;40,88;0,44;3,38;12,35;25,74;6,76;40,88;4,71;1,62;5,06;2,79;8,74;27,5;133,97;64,56;3,38;1,32;2,5;2,35;1,32;31,47;11,03;1,76;0,26;1,32;0,0;0,29;0,15;0,0;0,0;0,44;0,06;0,44;0,0;0,0;0,0;0,0;0,0
425;Edmond Tapsoba;bf BFA;DF;Leverkusen;26-111;1999,0;27,9;Matches;79,35;5,2;24,8;45,84;9,14;0,82;79,35;0,68;0,39;2,08;0,29;1,51;47,53;254,8;148,42;1,86;1,4;0,04;0,57;0,18;56,06;0,61;1,22;0,04;1,04;0,04;0,04;0,07;0,04;0,0;0,22;0,01;0,22;0,0;0,0;0,0;0,0;0,0
49;El Bilal Touré;ml MLI;FW,MF;Stuttgart;23-233;2001,0;4,0;Matches;34,25;0,25;1,5;12,25;21,25;5,75;34,25;1,5;0,75;12,5;0,75;12,5;18,0;94,75;42,0;1,5;1,25;1,0;2,5;0,5;27,5;6,25;2,75;0,7;2,0;0,0;0,25;0,5;0,0;0,0;0,25;0,06;0,25;0,0;0,0;0,0;0,0;0,0
75;El Chadaille Bitshiabu;fr FRA;DF;RB Leipzig;20-008;2005,0;12,6;Matches;83,97;11,83;37,3;43,41;3,65;0,95;83,97;0,24;0,16;5,29;0,08;2,64;40,95;174,44;83,49;0,32;0,24;0,08;0,87;0,08;53,49;0,16;1,11;0,09;0,95;0,0;0,08;0,0;0,0;0,08;0,08;0,01;0,08;0,0;0,0;0,0;0,0;0,0
369;Elias Saad;tn TUN;FW,MF;St. Pauli;25-148;1999,0;10,0;Matches;42,7;0,3;4,2;16,9;22,4;4,4;42,7;5,4;1,6;2,96;2,6;4,81;30,1;189,7;84,3;2,9;2,3;1,4;5,7;3,6;31,9;7,6;3,5;0,35;2,0;0,1;0,4;0,4;0,5;0,1;0,4;0,04;0,1;0,0;0,2;0,1;0,0;0,0
405;Ellyes Skhiri;tn TUN;MF;Eint Frankfurt;30-014;1995,0;24,8;Matches;62,26;3,47;17,98;36,33;8,15;0,85;62,26;0,6;0,44;2,96;0,12;0,81;33,19;145,32;67,46;0,69;0,69;0,12;1,01;0,28;42,22;1,09;1,98;0,08;1,69;0,0;0,0;0,08;0,04;0,16;0,2;0,01;0,12;0,0;0,0;0,04;0,0;0,04
355;Elvis Rexhbeçaj;xk KVX;MF;Augsburg;27-204;1997,0;19,8;Matches;44,8;1,82;7,58;20,1;17,58;1,57;44,8;1,62;0,51;1,58;0,91;2,84;23,38;103,13;49,39;1,57;1,31;0,4;1,57;1,26;27,22;4,14;2,83;0,14;1,77;0,56;0,0;0,35;0,15;0,0;0,25;0,01;0,25;0,0;0,0;0,0;0,0;0,0
71;Emre Can;de GER;DF,MF;Dortmund;31-132;1994,0;23,4;Matches;92,14;6,41;33,63;51,58;7,44;0,51;92,05;1,11;0,64;2,47;0,38;1,48;60,04;286,03;155,04;0,85;1,37;0,09;0,77;0,43;67,61;0,51;1,37;0,06;1,2;0,0;0,0;0,09;0,04;0,04;0,09;0,0;0,09;0,0;0,0;0,0;0,0;0,0
276;Enzo Millot;fr FRA;MF,FW;Stuttgart;22-311;2002,0;20,5;Matches;68,15;0,44;8,78;37,07;22,93;3,66;68,1;3,27;1,51;2,26;1,71;2,55;41,37;227,27;89,07;2,15;1,66;0,59;2,24;1,76;52,05;6,0;3,22;0,16;2,39;0,1;0,24;0,34;0,15;0,0;0,49;0,02;0,39;0,0;0,05;0,05;0,0;0,0
101;Eren Dinkçi;de GER;MF,FW;Freiburg;23-162;2001,0;13,3;Matches;41,5;0,45;5,34;19,47;17,52;2,71;41,5;2,93;1,2;3,08;1,73;4,44;20,23;130,3;70,75;2,48;1,95;0,68;2,33;0,9;26,09;5,34;3,23;0,24;2,71;0,0;0,23;0,08;0,15;0,08;0,38;0,03;0,38;0,0;0,0;0,0;0,0;0,0
265;Erhan Mašović;rs SRB;DF;Bochum;26-183;1998,0;10,1;Matches;53,37;7,43;27,33;24,16;2,08;1,09;53,37;0,1;0,0;0,0;0,1;9,9;28,71;111,19;50,79;0,1;0,1;0,0;0,5;0,3;31,98;0,4;0,69;0,07;0,69;0,0;0,0;0,0;0,0;0,0;0,1;0,01;0,1;0,0;0,0;0,0;0,0;0,0
99;Eric Dier;eng ENG;DF;Bayern Munich;31-129;1994,0;16,3;Matches;97,61;7,79;32,82;60,98;4,11;1,17;97,61;0,18;0,12;4,09;0,06;2,04;57,91;250,37;133,37;0,74;0,61;0,0;0,43;0,12;70,98;0,06;0,8;0,05;0,67;0,0;0,0;0,12;0,0;0,0;0,12;0,01;0,06;0,0;0,0;0,06;0,0;0,0
410;Eric Smith;se SWE;DF,MF;St. Pauli;28-136;1997,0;31,4;Matches;62,29;5,13;21,46;31,37;10,03;0,25;62,29;0,16;0,1;1,91;0,06;1,27;26,69;120,1;55,1;0,51;0,61;0,0;0,35;0,22;35,99;0,35;2,1;0,07;1,05;0,86;0,0;0,13;0,03;0,03;0,06;0,0;0,06;0,0;0,0;0,0;0,0;0,0
97;Ermedin Demirović;ba BIH;FW;Stuttgart;27-060;1998,0;20,6;Matches;28,25;0,49;2,18;11,6;14,61;6,12;28,16;1,21;0,24;0,97;0,92;3,69;14,81;67,38;28,45;0,97;0,78;0,44;1,89;1,31;21,21;5,58;2,28;0,11;1,7;0,0;0,1;0,34;0,15;0,0;0,34;0,02;0,19;0,0;0,0;0,1;0,05;0,0
327;Exequiel Palacios;ar ARG;MF;Leverkusen;26-231;1998,0;12,8;Matches;89,38;1,48;10,94;51,48;27,19;0,94;89,38;0,94;0,62;5,21;0,31;2,6;51,56;178,05;75,7;1,17;1,33;0,08;1,33;1,56;70,39;3,12;3,67;0,29;3,2;0,0;0,16;0,08;0,0;0,23;0,7;0,05;0,62;0,0;0,0;0,08;0,0;0,0
357;Fabian Rieder;ch SUI;MF,FW;Stuttgart;23-097;2002,0;9,6;Matches;51,25;0,62;6,25;22,4;23,75;1,77;51,25;1,98;0,94;4,94;1,04;5,48;26,35;152,71;65,73;2,08;1,56;0,31;2,19;1,35;32,81;6,35;3,65;0,38;2,29;0,42;0,21;0,42;0,31;0,0;0,52;0,05;0,21;0,1;0,1;0,0;0,1;0,0
80;Fabio Chiarodia;it ITA;DF;Gladbach;19-353;2005,0;4,2;Matches;70,95;16,9;40,48;28,33;2,14;1,19;70,95;0,0;0,0;;0,0;;30,95;133,81;59,29;0,24;0,0;0,0;0,24;0,0;35,95;0,24;0,48;0,11;0,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
76;Fares Chaïbi;dz ALG;MF,FW;Eint Frankfurt;22-177;2002,0;11,3;Matches;52,04;2,65;9,56;21,24;21,77;3,01;52,04;1,06;0,62;5,16;0,27;2,21;25,49;124,96;59,12;1,77;1,15;0,35;1,68;0,62;31,95;6,46;4,42;0,39;2,83;0,88;0,09;0,44;0,09;0,09;0,62;0,05;0,53;0,09;0,0;0,0;0,0;0,0
5;Felix Agu;de GER;DF;Werder Bremen;25-239;1999,0;19,5;Matches;53,59;2,46;16,15;23,85;13,85;1,9;53,59;1,79;0,46;1,32;0,97;2,78;27,95;132,77;65,54;1,69;0,62;0,41;1,69;0,62;31,03;5,38;1,79;0,09;1,54;0,05;0,1;0,0;0,1;0,0;0,05;0,0;0,05;0,0;0,0;0,0;0,0;0,0
306;Felix Nmecha;de GER;MF;Dortmund;24-226;2000,0;16,8;Matches;64,46;3,21;12,92;38,75;13,57;1,13;64,46;1,55;1,01;3,89;0,24;0,92;37,62;194,82;85,54;1,25;1,25;0,24;1,13;0,83;46,55;1,61;1,9;0,11;1,49;0,0;0,18;0,12;0,12;0,0;0,36;0,02;0,18;0,0;0,06;0,06;0,06;0,0
331;Felix Passlack;de GER;DF,MF;Bochum;26-360;1998,0;25,9;Matches;49,81;3,01;13,17;20,46;16,53;1,85;49,81;1,2;0,46;1,49;0,66;2,12;22,7;112,59;49,34;1,66;1,24;0,46;0,93;0,46;25,41;4,56;1,85;0,07;1,47;0,19;0,0;0,12;0,08;0,0;0,27;0,01;0,23;0,04;0,0;0,0;0,0;0,0
89;Finn Dahmen;de GER;GK;Augsburg;27-058;1998,0;19,0;Matches;42,68;29,11;41,58;1,11;0,0;0,0;42,68;0,0;0,0;;0,0;;25,21;128,37;71,32;0,0;0,0;0,0;0,0;0,0;22,42;0,0;0,11;0,01;0,11;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,05;0,0;0,0;0,0;0,0;0,0
194;Finn Jeltsch;de GER;DF;Stuttgart;18-311;2006,0;8,7;Matches;83,56;5,29;26,9;52,99;3,91;0,23;83,56;0,34;0,23;7,67;0,11;3,83;54,71;357,7;169,2;0,92;1,26;0,11;1,15;0,11;60,34;0,57;0,23;0,03;0,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
314;Finn Ole Becker;de GER;MF;Hoffenheim;24-350;2000,0;7,4;Matches;62,3;2,84;15,95;37,03;10,14;0,27;62,3;1,89;0,81;5,8;0,81;5,8;34,59;136,49;63,38;0,41;0,95;0,0;1,22;1,08;40,54;0,95;2,7;0,36;2,3;0,0;0,27;0,0;0,14;0,0;0,41;0,05;0,41;0,0;0,0;0,0;0,0;0,0
343;Finn Porath;de GER;DF,MF;Holstein Kiel;28-090;1997,0;21,9;Matches;45,62;3,33;14,84;18,4;12,79;1,51;45,62;1,64;0,73;2,03;0,59;1,65;19,09;107,95;55,48;1,92;1,51;0,5;0,68;0,68;23,15;3,15;2,79;0,13;1,92;0,27;0,18;0,27;0,14;0,0;0,5;0,02;0,27;0,0;0,0;0,23;0,0;0,0
149;Florian Grillitsch;at AUT;MF;Hoffenheim;29-290;1995,0;6,7;Matches;72,84;4,33;20,9;39,25;13,73;0,45;72,84;1,79;0,75;6,22;0,9;7,46;40,3;201,19;87,31;0,6;1,19;0,0;0,75;1,49;49,25;0,6;2,54;0,38;2,54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
284;Florian Müller;de GER;GK;Freiburg;27-192;1997,0;8,4;Matches;40,12;30,71;39,52;0,6;0,0;0,0;40,12;0,0;0,0;;0,0;;22,62;122,26;65,71;0,0;0,0;0,0;0,0;0,0;19,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
301;Florian Neuhaus;de GER;MF;Gladbach;28-069;1997,0;4,2;Matches;69,52;2,62;16,19;41,9;12,38;2,14;69,52;2,14;1,19;13,24;0,95;10,57;37,86;207,38;126,19;2,38;2,38;0,24;2,14;0,24;45,95;1,9;4,05;0,96;3,33;0,0;0,48;0,24;0,0;0,0;0,24;0,06;0,24;0,0;0,0;0,0;0,0;0,0
478;Florian Wirtz;de GER;MF,FW;Leverkusen;22-021;2003,0;26,1;Matches;80,31;0,38;4,94;31,19;45,1;5,25;80,15;6,4;3,14;1,88;3,03;1,81;46,63;270,23;139,5;5,02;2,76;2,03;2,22;1,8;62,76;11,84;5,67;0,22;4,1;0,27;0,88;0,23;0,15;0,04;1,0;0,04;0,69;0,0;0,15;0,11;0,04;0,0
177;Franck Honorat;fr FRA;FW;Gladbach;28-286;1996,0;16,0;Matches;47,62;1,88;7,94;16,25;24,31;3,75;47,62;2,0;0,75;2,34;1,19;3,71;23,31;163,31;96,81;3,94;2,19;1,62;1,38;0,75;28,5;7,75;5,19;0,32;2,88;1,62;0,19;0,44;0,0;0,06;0,5;0,03;0,25;0,25;0,0;0,0;0,0;0,0
318;Frank Onyeka;ng NGA;MF;Augsburg;27-143;1998,0;28,7;Matches;46,66;2,09;8,5;26,69;12,33;1,29;46,66;1,88;0,63;1,16;0,91;1,68;26,27;148,85;66,93;1,6;1,39;0,28;1,71;1,18;28,4;2,47;1,74;0,06;1,43;0,07;0,03;0,03;0,17;0,0;0,14;0,0;0,03;0,03;0,03;0,03;0,0;0,0
232;Frans Krätzig;de GER;DF,MF;Heidenheim;22-130;2003,0;13,5;Matches;50,07;1,7;13,78;21,41;15,56;1,93;50,07;1,48;0,67;3,33;0,81;4,07;27,56;132,15;60,89;1,85;1,26;0,44;1,56;0,59;29,85;4,22;3,33;0,25;2,3;0,74;0,15;0,0;0,0;0,15;0,15;0,01;0,15;0,0;0,0;0,0;0,0;0,0
368;Frederik Rønnow;dk DEN;GK;Union Berlin;32-293;1992,0;28,0;Matches;35,0;27,07;34,46;0,57;0,04;0,04;35,0;0,04;0,04;3,57;0,0;0,0;20,14;112,54;70,57;0,0;0,0;0,0;0,04;0,0;15,18;0,0;0,21;0,01;0,14;0,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
195;Fredrik Jensen;fi FIN;MF;Augsburg;27-257;1997,0;8,5;Matches;37,41;2,0;5,18;14,35;18,35;2,82;37,41;1,53;0,82;6,33;0,71;5,44;22,35;106,0;45,88;1,88;0,94;0,35;1,88;1,18;26,35;6,82;2,24;0,26;1,76;0,0;0,24;0,0;0,24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
176;Gerrit Holtmann;ph PHI;DF,FW;Bochum;30-060;1995,0;12,6;Matches;45,32;1,83;8,81;14,92;22,3;2,22;45,32;1,59;0,48;2,38;1,03;5,16;26,67;188,1;92,3;3,97;2,3;0,71;2,62;0,79;28,02;7,7;3,41;0,27;2,7;0,08;0,16;0,32;0,0;0,16;0,24;0,02;0,08;0,08;0,0;0,0;0,0;0,08
320;Gift Orban;ng NGA;FW;Hoffenheim;22-311;2002,0;7,6;Matches;27,37;0,13;2,63;12,11;12,63;2,89;27,37;1,45;0,53;4,79;0,92;8,37;14,21;57,37;21,45;1,05;0,79;0,39;1,84;0,66;16,18;4,61;1,58;0,21;1,18;0,0;0,26;0,0;0,13;0,0;0,26;0,03;0,13;0,0;0,13;0,0;0,0;0,0
264;Giorgos Masouras;gr GRE;FW,MF;Bochum;31-143;1994,0;11,7;Matches;34,44;0,6;4,62;13,33;17,26;4,53;34,44;1,2;0,43;3,05;0,77;5,5;18,8;90,94;43,33;2,22;0,6;1,11;2,39;0,51;22,22;7,01;2,48;0,21;1,79;0,0;0,17;0,43;0,09;0,0;0,43;0,04;0,17;0,0;0,0;0,26;0,0;0,0
484;Granit Xhaka;ch SUI;MF;Leverkusen;32-239;1992,0;32,1;Matches;95,08;2,65;14,8;58,72;22,02;0,47;95,08;0,5;0,22;1,36;0,25;1,56;50,19;184,67;93,52;1,31;1,62;0,0;0,56;0,44;73,77;2,24;3,74;0,12;3,52;0,12;0,0;0,03;0,06;0,0;0,56;0,02;0,53;0,03;0,0;0,0;0,0;0,0
