Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
7,Abner,br BRA,DF,Lyon,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0.08,+0.4,+0.4,568,675,84.1,8355,3494,335,366,91.5,181,210,86.2,33,55,60.0,2.3,-0.1,11,45,11,2,576,97,1,5,31,82,6,6,0,0,2,19,25,2.06,21,3,0,0,0,1,0.08,1,0,0,0,0,29,20,12,10,7,21,65.6,11,13,5,34,41,0,791,40,22,6,50.0,6,50.0,426,5,14,8,513,57,35.6,83,6,7,14,13,1.84,18,15,+3,+0.25,-0.48,21.3,15.5,+5.8,+0.48,+0.08,0,16,0,0,0,45,7,43.8
,Achraf Dari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
229,Achraf Hakimi,ma MAR,DF,Paris S-G,25,1998,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.40,0.13,0.40,Matches,32,12,37.5,1.39,0.52,0.13,0.33,19.2,5,0.09,+1.1,+1.1,1898,2140,88.7,26053,7482,1187,1266,93.8,573,644,89.0,63,96,65.6,5.3,-0.2,50,138,37,9,1949,188,2,8,80,150,4,0,1,0,3,32,104,4.53,91,3,4,3,2,11,0.48,10,0,1,0,0,48,36,18,20,10,27,49.1,28,23,31,79,18,3,2371,40,81,26,50.0,21,40.4,1384,21,38,15,1817,83,67.5,85,20,1,17,2,2.64,65,20,+45,+1.96,+0.87,64.6,20.1,+44.6,+1.94,+0.75,0,19,0,0,0,136,9,42.9
,Adam Delplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,7,,,,,,,,,,,,,,,,,,,
,Adama Bojang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,
,Adel Mahamoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
415,Ado Onaiwu,jp JPN,"MF,FW",Auxerre,28,1995,31,9,957,10.6,4,1,5,4,0,0,1,1,4.0,4.0,1.1,5.1,17,33,74,0.38,0.09,0.47,0.38,0.47,0.37,0.10,0.47,0.37,0.47,Matches,23,14,60.9,2.16,1.32,0.17,0.29,13.9,0,0.18,0.0,0.0,241,329,73.3,3189,813,143,182,78.6,70,89,78.7,9,13,69.2,1.1,-0.1,10,21,9,4,321,4,1,0,7,1,0,0,0,0,4,14,28,2.63,23,0,0,2,1,1,0.09,1,0,0,0,0,11,7,2,6,3,4,28.6,10,12,3,14,12,0,458,9,30,11,44.0,13,52.0,268,4,29,22,346,31,31.3,69,1,22,15,2,1.23,18,18,0,0.00,+0.13,14.3,21.6,-7.4,-0.69,-0.25,0,9,0,0,0,45,37,58.7
444,Adrien Rabiot,fr FRA,MF,Marseille,29,1995,29,27,2485,27.6,9,4,13,9,0,0,4,0,7.3,7.3,3.8,11.1,79,168,174,0.33,0.14,0.47,0.33,0.47,0.26,0.14,0.40,0.26,0.40,Matches,48,22,45.8,1.74,0.80,0.19,0.41,13.2,0,0.15,+1.7,+1.7,1309,1543,84.8,18021,4031,776,849,91.4,430,500,86.0,38,67,56.7,3.8,+0.2,28,147,24,5,1508,32,6,0,40,11,0,0,0,0,3,38,66,2.39,53,0,5,2,0,11,0.40,8,0,2,1,0,49,31,17,21,11,19,59.4,13,19,21,70,32,0,1822,36,100,26,52.0,23,46.0,1096,16,52,31,1445,86,81.2,90,27,2,28,0,1.79,58,39,+19,+0.69,-0.56,55.3,35.4,+19.9,+0.72,+0.94,0,53,0,1,0,124,34,56.7
524,Adrien Thomasson,fr FRA,MF,Lens,30,1993,33,31,2615,29.1,3,7,10,3,0,0,7,0,5.9,5.9,6.0,11.9,30,149,138,0.10,0.24,0.34,0.10,0.34,0.20,0.21,0.41,0.20,0.41,Matches,41,11,26.8,1.41,0.38,0.07,0.27,14.3,0,0.15,-2.9,-2.9,1318,1612,81.8,20594,5103,696,790,88.1,472,561,84.1,97,142,68.3,5.2,+1.0,56,99,29,7,1539,68,4,9,58,8,24,8,13,0,5,33,109,3.75,85,9,0,3,4,11,0.38,8,0,0,0,0,90,47,42,25,23,52,54.7,43,45,19,109,28,2,1995,52,112,26,43.3,32,53.3,1056,9,67,41,1361,79,85.5,83,18,2,27,0,1.48,36,32,+4,+0.14,+0.34,45.2,37.7,+7.4,+0.26,+0.44,0,51,0,1,0,206,17,27.4
529,Adrien Truffert,fr FRA,"DF,MF",Rennes,22,2001,33,31,2752,30.6,2,2,4,2,0,0,3,0,2.4,2.3,3.2,5.5,69,104,243,0.07,0.07,0.13,0.07,0.13,0.08,0.11,0.18,0.08,0.18,Matches,23,10,43.5,0.75,0.33,0.09,0.20,19.7,0,0.10,-0.4,-0.3,1263,1601,78.9,19719,6114,669,743,90.0,490,620,79.0,70,144,48.6,4.0,-1.2,39,56,39,20,1312,283,1,3,145,218,38,11,19,0,6,39,76,2.49,53,12,2,3,1,8,0.26,6,0,1,0,0,61,36,27,21,13,32,66.7,16,38,27,88,56,1,1906,71,57,16,36.4,22,50.0,971,15,36,25,1186,83,89.9,88,25,2,17,0,1.24,44,49,-5,-0.16,-1.92,42.1,42.9,-0.8,-0.02,-0.99,0,25,0,0,0,139,27,50.0
