Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
211.0,Ryan Gravenberch,nl NED,MF,Liverpool,22.0,2002.0,37.0,37.0,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.1,1.1,3.1,4.2,70.0,181.0,55.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,Matches,20.0,5.0,25.0,0.57,0.14,0.0,0.0,24.5,0.0,0.06,-1.1,-1.1,1718.0,1927.0,89.2,25904.0,6528.0,917.0,991.0,92.5,680.0,737.0,92.3,64.0,104.0,61.5,3.5,0.9,26.0,151.0,35.0,2.0,1889.0,32.0,8.0,7.0,7.0,10.0,0.0,0.0,0.0,0.0,6.0,15.0,68.0,1.94,60.0,0.0,5.0,0.0,1.0,6.0,0.17,6.0,0.0,0.0,0.0,0.0,69.0,35.0,27.0,29.0,13.0,32.0,57.1,24.0,25.0,60.0,129.0,59.0,2.0,2343.0,117.0,26.0,37.0,45.7,30.0,37.0,1396.0,10.0,55.0,26.0,1669.0,85.0,92.4,85.0,27,0,,0,2.27,79.0,35.0,44.0,1.25,0.91,76.2,33.3,42.8,1.22,0.96,0.0,47.0,0.0,0.0,0.0,193.0,26.0,65.0
330.0,Ryan Manning,ie IRL,"DF,MF",Southampton,28.0,1996.0,24.0,18.0,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,3.2,3.6,14.0,35.0,74.0,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,Matches,8.0,1.0,12.5,0.49,0.06,0.0,0.0,22.0,1.0,0.04,-0.3,-0.3,619.0,803.0,77.1,10360.0,3336.0,317.0,344.0,92.2,233.0,288.0,80.9,55.0,125.0,44.0,2.8,-2.2,34.0,33.0,12.0,8.0,634.0,162.0,1.0,3.0,84.0,92.0,32.0,24.0,5.0,0.0,7.0,21.0,50.0,3.08,25.0,22.0,0.0,1.0,1.0,3.0,0.18,0.0,2.0,0.0,1.0,0.0,28.0,17.0,16.0,10.0,2.0,14.0,53.8,12.0,9.0,17.0,45.0,47.0,0.0,968.0,72.0,22.0,11.0,30.6,16.0,44.4,483.0,4.0,17.0,5.0,573.0,61.0,42.7,77.0,5,6,14.0,7,0.29,12.0,35.0,-23.0,-1.42,0.28,14.0,35.3,-21.3,-1.31,0.1,0.0,19.0,0.0,0.0,0.0,65.0,15.0,71.4
469.0,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24.0,2000.0,16.0,7.0,580.0,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.6,1.6,1.1,2.7,18.0,22.0,59.0,0.62,0.31,0.93,0.62,0.93,0.25,0.17,0.42,0.25,0.42,Matches,14.0,8.0,57.1,2.17,1.24,0.29,0.5,12.8,0.0,0.12,2.4,2.4,189.0,241.0,78.4,2728.0,859.0,118.0,136.0,86.8,58.0,73.0,79.5,8.0,13.0,61.5,1.1,0.9,12.0,18.0,7.0,2.0,226.0,15.0,0.0,0.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,9.0,24.0,3.72,20.0,0.0,1.0,1.0,0.0,4.0,0.62,4.0,0.0,0.0,0.0,0.0,27.0,13.0,11.0,11.0,5.0,9.0,45.0,11.0,12.0,3.0,30.0,18.0,0.0,363.0,15.0,45.0,8.0,38.1,10.0,47.6,180.0,10.0,19.0,8.0,210.0,36.0,17.0,73.0,1,9,7.0,16,1.56,13.0,10.0,3.0,0.47,0.56,9.3,8.1,1.3,0.19,0.18,0.0,20.0,0.0,0.0,0.0,30.0,8.0,42.1
568.0,Ryan Yates,eng ENG,MF,Nott'ham Forest,26.0,1997.0,35.0,18.0,1915.0,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,2.3,2.3,1.2,3.5,18.0,53.0,16.0,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16,Matches,33.0,9.0,27.3,1.55,0.42,0.06,0.22,19.6,0.0,0.07,-0.3,-0.3,618.0,758.0,81.5,9172.0,2063.0,324.0,370.0,87.6,225.0,263.0,85.6,32.0,56.0,57.1,0.5,-0.2,18.0,48.0,4.0,0.0,699.0,56.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,3.0,19.0,38.0,1.78,26.0,1.0,1.0,2.0,2.0,3.0,0.14,2.0,0.0,0.0,0.0,0.0,42.0,21.0,24.0,14.0,4.0,17.0,45.9,20.0,28.0,26.0,68.0,61.0,1.0,1041.0,80.0,41.0,9.0,50.0,5.0,27.8,424.0,1.0,24.0,18.0,545.0,55.0,56.0,83.0,13,17,25.0,2,1.69,25.0,27.0,-2.0,-0.09,-0.93,24.2,27.2,-3.0,-0.14,-0.11,0.0,53.0,0.0,0.0,0.0,104.0,45.0,60.0
133.0,Rúben Dias,pt POR,DF,Manchester City,27.0,1997.0,27.0,25.0,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,0.3,1.8,43.0,160.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,21.0,7.0,33.3,0.83,0.28,0.0,0.0,19.4,0.0,0.07,-1.5,-1.5,2167.0,2317.0,93.5,37644.0,12143.0,900.0,929.0,96.9,1118.0,1159.0,96.5,120.0,177.0,67.8,1.2,-0.3,5.0,222.0,12.0,0.0,2234.0,80.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,14.0,26.0,1.03,17.0,0.0,0.0,0.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,17.0,11.0,7.0,9.0,1.0,7.0,53.8,6.0,3.0,20.0,37.0,71.0,4.0,2499.0,216.0,26.0,2.0,66.7,1.0,33.3,1775.0,1.0,8.0,1.0,2016.0,84.0,66.4,90.0,25,2,11.0,0,2.11,50.0,21.0,29.0,1.15,1.23,46.2,28.8,17.5,0.69,0.46,0.0,12.0,0.0,1.0,1.0,78.0,37.0,52.1
268.0,Sam Johnstone,eng ENG,GK,Wolves,31.0,1993.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,184.0,278.0,66.2,5548.0,4270.0,31.0,32.0,96.9,80.0,82.0,97.6,72.0,160.0,45.0,0.0,0.0,1.0,6.0,0.0,0.0,230.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,306.0,229.0,0.0,0.0,,0.0,,196.0,0.0,0.0,0.0,179.0,,,,0,0,,2,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9.0,4.0,100.0
364.0,Sam Morsy,eg EGY,MF,Ipswich Town,32.0,1991.0,33.0,31.0,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,1.2,1.6,22.0,120.0,13.0,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,Matches,13.0,3.0,23.1,0.43,0.1,0.08,0.33,27.2,0.0,0.03,0.6,0.6,1249.0,1445.0,86.4,20142.0,5579.0,637.0,686.0,92.9,502.0,546.0,91.9,79.0,139.0,56.8,1.5,-0.2,24.0,149.0,17.0,4.0,1388.0,50.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,51.0,1.67,46.0,4.0,0.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,68.0,41.0,40.0,24.0,4.0,27.0,43.5,35.0,21.0,29.0,97.0,47.0,5.0,1683.0,97.0,6.0,17.0,58.6,9.0,31.0,852.0,3.0,17.0,13.0,1137.0,83.0,80.4,88.0,23,2,16.0,2,0.64,28.0,67.0,-39.0,-1.28,-0.33,28.3,56.5,-28.2,-0.92,0.44,0.0,48.0,0.0,1.0,1.0,157.0,18.0,42.9
499.0,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28.0,1995.0,20.0,13.0,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,19.0,47.0,0.36,0.0,0.36,0.36,0.36,0.31,0.02,0.33,0.31,0.33,Matches,21.0,12.0,57.1,1.91,1.09,0.19,0.33,14.0,0.0,0.16,0.6,0.6,149.0,201.0,74.1,2458.0,724.0,72.0,82.0,87.8,54.0,65.0,83.1,15.0,29.0,51.7,0.5,-0.2,5.0,11.0,4.0,1.0,190.0,11.0,0.0,0.0,14.0,0.0,6.0,6.0,0.0,0.0,0.0,13.0,10.0,0.91,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,4.0,10.0,2.0,7.0,26.9,19.0,8.0,6.0,22.0,14.0,0.0,318.0,17.0,33.0,4.0,33.3,6.0,50.0,179.0,7.0,24.0,17.0,193.0,50.0,29.0,70.0,0,7,12.0,2,0.65,11.0,18.0,-7.0,-0.64,0.81,11.4,22.8,-11.4,-1.03,-0.03,0.0,9.0,0.0,1.0,0.0,42.0,6.0,35.3
55.0,Sander Berge,no NOR,MF,Fulham,26.0,1998.0,31.0,26.0,2224.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.6,1.0,29.0,124.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,3.0,1.0,33.3,0.12,0.04,0.0,0.0,8.7,0.0,0.12,-0.4,-0.4,1091.0,1193.0,91.5,19377.0,4626.0,452.0,491.0,92.1,526.0,557.0,94.4,96.0,115.0,83.5,0.6,-0.6,18.0,116.0,5.0,0.0,1152.0,41.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,1.94,43.0,1.0,1.0,0.0,2.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,50.0,30.0,23.0,23.0,4.0,27.0,69.2,12.0,19.0,21.0,71.0,38.0,1.0,1384.0,81.0,14.0,11.0,55.0,6.0,30.0,804.0,2.0,15.0,16.0,892.0,72.0,65.0,81.0,16,5,23.0,0,1.48,33.0,35.0,-2.0,-0.08,-0.23,29.9,30.2,-0.3,-0.01,-0.18,0.0,31.0,0.0,0.0,0.0,126.0,28.0,56.0
516.0,Sandro Tonali,it ITA,MF,Newcastle Utd,24.0,2000.0,36.0,28.0,2630.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,4.4,4.4,2.2,6.6,37.0,128.0,53.0,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,Matches,35.0,12.0,34.3,1.2,0.41,0.11,0.33,19.6,3.0,0.13,-0.4,-0.4,1285.0,1535.0,83.7,20569.0,5348.0,672.0,745.0,90.2,468.0,537.0,87.2,99.0,157.0,63.1,2.8,-0.2,28.0,104.0,30.0,5.0,1468.0,61.0,7.0,7.0,54.0,12.0,19.0,9.0,8.0,1.0,6.0,27.0,78.0,2.67,50.0,10.0,3.0,6.0,3.0,9.0,0.31,8.0,1.0,0.0,0.0,0.0,51.0,32.0,22.0,23.0,6.0,25.0,49.0,26.0,23.0,34.0,85.0,33.0,2.0,1818.0,64.0,45.0,20.0,54.1,14.0,37.8,979.0,6.0,30.0,23.0,1257.0,73.0,76.9,86.0,22,8,27.0,0,1.72,55.0,34.0,21.0,0.72,0.72,50.7,32.8,17.9,0.61,0.56,0.0,37.0,1.0,0.0,0.0,177.0,12.0,50.0
74.0,Santiago Bueno,uy URU,DF,Wolves,25.0,1998.0,29.0,18.0,1687.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,6.0,3.0,50.0,0.32,0.16,0.0,0.0,14.0,0.0,0.07,-0.4,-0.4,741.0,842.0,88.0,13598.0,4177.0,260.0,281.0,92.5,417.0,444.0,93.9,51.0,91.0,56.0,0.1,0.0,0.0,24.0,2.0,0.0,807.0,34.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,0.64,10.0,1.0,0.0,0.0,1.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,41.0,21.0,22.0,18.0,1.0,17.0,77.3,5.0,15.0,15.0,56.0,70.0,0.0,1025.0,170.0,6.0,0.0,0.0,4.0,100.0,555.0,0.0,2.0,2.0,660.0,58.0,49.3,87.0,14,11,12.0,8,1.31,26.0,34.0,-8.0,-0.43,-0.06,22.5,29.2,-6.6,-0.35,0.05,0.0,26.0,0.0,0.0,0.0,43.0,35.0,53.0
