Rk;Player;Nation;Pos;Squad;Age;Born;90s;xG;npxG;xAG;npxG+xAG;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1;Matches;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;Cmp%;Cmp%.1;Cmp%.2;Cmp%.3;xA;A-xAG;SCA90;GCA90;Tkl%;Succ%;Tkld%;Min%;PPM;+/-90;On-Off;onxG;onxGA;xG+/-;xG+/-90;On-Off.1;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;PrgC_per90;PrgP_per90;PrgR_per90;Sh_per90;SoT_per90;FK_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;onG_per90;onGA_per90;+/-_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
30,0;Julian Araujo;mx MEX;DF;Bournemouth;22,0;2001,0;5,5;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,01;0,0;0,01;Matches;;0,0;0,0;;;;;0,0;0,0;79,1;89,4;86,5;34,5;0,1;-0,1;0,91;0,0;41,7;0,0;100,0;14,5;1,08;-1,45;-2,06;6,8;9,4;-2,6;-0,47;-1,02;25,0;2,18;1,27;90,36;0,0;0,0;0,0;0,0;0,0;0,0;0,36;0,0;0,73;2,55;4,0;0,0;0,0;0,0;32,36;40,91;546,55;161,82;15,27;17,09;15,09;17,45;1,82;5,27;0,18;3,09;0,55;0,36;36,0;4,91;0,0;0,0;1,64;4,55;0,0;0,0;0,0;0,0;0,0;0,36;0,91;0,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,82;0,91;0,73;1,09;0,0;0,91;1,27;0,55;1,09;2,91;3,27;0,0;50,0;3,64;0,36;0,0;0,18;22,91;0,0;0,91;0,36;27,09;7,45;11,27;0,0;0,91;2,18;1,27;0,36;1,82;-1,45;0,0;1,27;0,0;0,0;0,0;5,27;0,55
165,0;Julio Enciso;py PAR;MF,FW;Ipswich Town;20,0;2004,0;9,7;1,7;1,7;1,4;3,1;0,21;0,31;0,52;0,21;0,52;0,18;0,14;0,32;0,18;0,32;Matches;34,4;3,31;1,14;0,06;0,18;23,0;0,05;0,3;0,3;69,0;77,5;74,2;45,5;1,1;1,6;3,0;0,41;36,4;45,5;42,4;25,4;0,46;-0,93;0,37;9,7;16,4;-6,7;-0,7;0,42;32,0;1,34;1,24;89,59;0,21;0,31;0,52;0,21;0,0;0,0;0,31;0,0;2,37;2,89;4,54;3,3;1,13;0,1;17,63;25,57;286,49;84,43;8,14;10,52;7,42;10,0;1,03;2,27;1,34;1,86;0,82;0,1;21,65;3,81;0,41;0,0;2,16;0,21;1,34;1,13;0,1;0,0;0,1;1,13;2,99;1,65;0,41;0,62;0,0;0,1;0,41;0,21;0,1;0,1;0,0;0,0;1,24;0,93;0,31;0,62;0,31;0,41;0,72;0,72;0,1;1,34;0,62;0,0;41,86;0,52;2,37;3,09;2,89;21,13;0,93;2,47;3,09;27,01;6,91;7,32;0,21;0,1;1,24;0,0;0,93;1,86;-0,93;0,0;0,93;0,0;0,1;0,0;4,43;0,82
512,0;Jurriën Timber;nl NED;DF;Arsenal;23,0;2001,0;26,9;1,2;1,2;0,8;2,1;0,04;0,11;0,15;0,04;0,15;0,05;0,03;0,08;0,05;0,08;Matches;28,6;0,52;0,15;0,07;0,25;14,1;0,09;-0,2;-0,2;85,6;91,0;86,0;52,9;1,3;2,2;1,94;0,34;66,7;45,3;45,3;70,7;2,0;1,15;0,8;42,3;21,3;21,0;0,78;0,38;52,4;1,12;1,0;89,85;0,04;0,11;0,15;0,04;0,0;0,0;0,26;0,0;2,12;5,43;3,87;0,52;0,15;0,0;44,39;51,86;644,13;172,57;25,06;27,55;17,55;20,41;1,0;1,9;0,63;3,98;0,63;0,07;44,16;7,58;0,07;0,04;1,04;6,77;0,0;0,0;0,0;0,0;0,11;0,93;1,93;1,71;0,04;0,11;0,04;0,04;0,33;0,3;0,0;0,04;0,0;0,0;2,16;1,41;0,63;1,12;0,41;0,67;0,33;0,56;0,82;2,97;1,64;0,04;61,75;1,9;2,45;0,89;0,89;33,09;0,41;1,23;0,89;39,11;3,01;3,23;0,67;0,11;0,93;0,07;1,93;0,78;1,15;0,0;1,15;0,0;0,0;0,0;3,49;0,82
130,0;Justin Devenny;nir NIR;MF;Crystal Palace;20,0;2003,0;5,6;0,8;0,8;0,6;1,4;0,18;0,18;0,36;0,18;0,36;0,14;0,11;0,25;0,14;0,25;Matches;60,0;1,78;1,07;0,1;0,17;21,1;0,08;0,2;0,2;72,2;81,1;71,8;48,3;0,4;0,4;2,66;0,18;42,1;50,0;50,0;14,8;1,65;0,0;0,0;8,4;9,0;-0,7;-0,12;-0,49;13,3;4,11;0,71;90,54;0,18;0,18;0,36;0,18;0,0;0,0;0,18;0,0;0,89;3,75;2,32;1,79;1,07;0,18;26,43;36,61;434,46;130,36;13,75;16,96;9,11;12,68;2,5;5,18;1,25;3,93;0,71;0,18;32,86;3,39;0,18;0,18;3,04;0,0;1,61;0,71;0,71;0,0;0,36;0,36;2,68;2,14;0,36;0,0;0,0;0,0;0,18;0,18;0,0;0,0;0,0;0,0;3,04;2,14;1,25;1,61;0,18;1,43;1,96;0,89;0,0;3,04;1,96;0,0;49,82;1,43;1,43;0,36;0,36;23,93;0,18;3,04;0,54;29,82;3,93;12,14;0,0;3,39;2,14;1,25;1,43;1,43;0,0;0,0;1,43;0,0;0,0;0,0;4,82;0,36
290,0;Justin Kluivert;nl NED;MF;Bournemouth;25,0;1999,0;26,0;10,3;5,6;4,8;10,5;0,46;0,23;0,69;0,23;0,46;0,4;0,19;0,58;0,22;0,4;Matches;40,4;2,19;0,88;0,11;0,26;20,0;0,1;1,7;0,4;74,4;84,3;76,2;51,7;3,7;1,2;3,88;0,46;18,2;41,4;46,0;68,4;1,5;0,35;0,1;43,0;32,5;10,5;0,41;-0,01;22,2;1,31;1,12;90,0;0,46;0,23;0,69;0,23;0,23;0,23;0,31;0,0;3,12;4,04;6,65;2,19;0,88;0,0;22,38;30,08;340,15;89,62;12,38;14,69;7,27;9,54;1,73;3,35;1,73;1,73;1,35;0,23;26,27;3,54;0,19;0,23;3,27;0,38;1,35;1,15;0,0;0,0;0,27;0,69;3,88;2,81;0,31;0,27;0,19;0,04;0,46;0,42;0,0;0,0;0,04;0,0;0,88;0,42;0,15;0,42;0,31;0,15;0,69;0,92;0,54;1,42;0,92;0,04;41,77;0,92;5,15;1,38;1,54;24,85;1,46;2,12;1,04;27,31;2,65;2,85;0,19;0,19;1,54;0,0;1,46;1,12;0,35;0,0;1,81;0,04;0,0;0,0;3,0;0,31
154,0;Jáder Durán;co COL;FW;Aston Villa;20,0;2003,0;7,1;4,9;4,9;0,2;5,1;0,99;0,0;0,99;0,99;0,99;0,69;0,03;0,71;0,69;0,71;Matches;48,4;4,37;2,12;0,23;0,47;15,6;0,16;2,1;2,1;70,6;81,0;68,0;45,5;0,3;-0,2;2,54;0,14;25,0;21,4;64,3;18,7;1,5;0,0;-0,23;9,2;9,7;-0,5;-0,07;-0,28;50,0;2,82;0,56;89,86;0,99;0,0;0,99;0,99;0,0;0,0;0,42;0,14;0,99;1,83;6,2;4,37;2,11;0,0;16,2;22,96;219,44;43,24;9,58;11,83;4,79;7,04;0,7;1,55;0,56;1,41;0,14;0,0;21,83;0,99;0,28;0,0;0,42;0,0;0,0;0,0;0,0;0,0;0,14;0,56;2,54;1,27;0,0;0,0;0,42;0,28;0,14;0,0;0,0;0,0;0,0;0,14;1,13;0,99;0,14;0,28;0,7;0,14;0,42;0,7;0,0;1,13;1,83;0,0;37,04;1,83;6,62;0,42;1,27;18,73;0,28;2,25;2,11;27,04;4,51;8,45;0,0;2,25;3,52;0,14;1,69;1,69;0,0;0,0;1,97;0,0;0,0;0,0;2,68;2,68
495,0;Jørgen Strand Larsen;no NOR;FW;Wolves;24,0;2000,0;28,7;10,3;10,3;3,0;13,3;0,49;0,14;0,63;0,49;0,63;0,36;0,1;0,46;0,36;0,46;Matches;61,1;1,88;1,15;0,26;0,42;11,3;0,19;3,7;3,7;64,6;71,7;65,2;70,0;1,0;1,0;1,46;0,21;14,8;40,0;55,0;75,6;1,11;-0,31;0,34;32,3;43,2;-10,9;-0,38;0,0;40,1;1,22;1,05;90,14;0,49;0,14;0,63;0,49;0,0;0,0;0,14;0,0;0,59;1,01;3,9;1,88;1,15;0,0;10,28;15,92;133,03;24,29;6,34;8,85;2,54;3,9;0,49;0,7;0,73;0,66;0,14;0,03;15,44;0,49;0,03;0,07;0,21;0,0;0,0;0,0;0,0;0,0;0,0;0,66;1,46;1,15;0,03;0,03;0,07;0,07;0,21;0,21;0,0;0,0;0,0;0,0;0,35;0,21;0,07;0,1;0,17;0,14;0,8;0,52;0,21;0,56;1,01;0,0;25,64;1,25;3,76;0,28;0,38;12,02;0,31;3,14;1,18;18,61;2,58;2,79;0,38;0,17;1,22;0,0;1,5;1,81;-0,31;0,0;1,6;0,0;0,0;0,0;1,46;2,33
231,0;Kai Havertz;de GER;FW,MF;Arsenal;25,0;1999,0;20,8;9,5;9,5;2,4;12,0;0,43;0,14;0,58;0,43;0,58;0,46;0,12;0,57;0,46;0,57;Matches;39,6;2,54;1,01;0,17;0,43;11,6;0,18;-0,5;-0,5;78,4;84,1;82,6;45,5;1,7;0,6;2,02;0,14;26,7;23,7;63,2;54,8;2,13;0,96;0,09;34,2;19,3;14,9;0,72;0,1;44,7;1,11;1,01;90,14;0,43;0,14;0,58;0,43;0,0;0,0;0,24;0,0;1,68;2,93;5,43;2,55;1,01;0,0;19,57;24,95;235,82;49,66;13,75;16,35;4,57;5,53;0,24;0,53;0,82;1,3;0,43;0,05;24,57;0,29;0,05;0,0;0,53;0,24;0,0;0,0;0,0;0,0;0,1;0,53;2,02;1,68;0,0;0,05;0,0;0,0;0,14;0,1;0,0;0,0;0,0;0,0;0,77;0,43;0,14;0,29;0,34;0,19;0,53;0,91;0,29;1,06;1,59;0,05;37,74;1,49;5,14;0,43;1,15;20,1;0,87;2,12;1,11;28,08;3,94;4,23;0,87;0,1;0,87;0,05;1,92;0,96;0,96;0,0;1,83;0,0;0,0;0,0;1,97;3,03
415,0;Kalvin Phillips;eng ENG;MF;Ipswich Town;28,0;1995,0;13,7;0,4;0,4;0,2;0,7;0,0;0,0;0,0;0,0;0,0;0,03;0,02;0,05;0,03;0,05;Matches;18,2;0,8;0,15;0,0;0,0;24,3;0,04;-0,4;-0,4;79,1;83,1;86,7;61,2;0,5;-0,2;1,24;0,22;38,5;41,7;50,0;36,2;0,68;-1,24;-0,04;9,8;26,7;-16,8;-1,23;-0,34;24,1;1,39;1,02;90,29;0,0;0,0;0,0;0,0;0,0;0,0;0,44;0,07;0,29;3,72;0,29;0,8;0,15;0,22;31,82;40,22;626,35;180,58;11,82;14,23;15,18;17,52;4,38;7,15;0,36;3,58;0,44;0,07;37,23;2,92;0,07;0,44;1,46;0,15;0,8;0,58;0,15;0,07;0,07;0,66;1,24;0,95;0,22;0,0;0,0;0,0;0,22;0,22;0,0;0,0;0,0;0,0;2,55;1,39;0,58;1,46;0,51;1,09;1,75;2,12;1,39;3,94;2,7;0,15;53,94;4,45;0,36;0,36;0,44;22,63;0,0;1,82;0,73;28,76;4,74;5,99;0,44;0,36;1,39;0,44;0,88;2,12;-1,24;0,07;2,04;0,0;0,0;0,0;4,96;0,51
497,0;Kamaldeen Sulemana;gh GHA;FW,MF;Southampton;22,0;2002,0;15,6;1,5;1,5;1,0;2,5;0,06;0,06;0,13;0,06;0,13;0,1;0,06;0,16;0,1;0,16;Matches;27,6;1,86;0,51;0,03;0,13;18,6;0,05;-0,5;-0,5;79,8;88,1;83,5;46,4;0,8;0,0;1,93;0,19;66,7;37,9;54,4;41,0;0,27;-1,6;-0,04;10,0;34,8;-24,7;-1,59;-0,36;32,5;1,67;1,09;89,87;0,06;0,06;0,13;0,06;0,0;0,0;0,13;0,0;4,04;1,73;5,58;1,86;0,51;0,0;18,27;22,88;262,88;40,19;11,35;12,88;5,51;6,6;0,83;1,79;0,64;0,38;0,83;0,45;22,69;0,13;0,0;0,13;1,67;0,13;0,0;0,0;0,0;0,0;0,06;0,58;1,92;0,96;0,06;0,64;0,06;0,0;0,19;0,06;0,0;0,06;0,0;0,0;1,41;1,09;0,58;0,32;0,51;0,64;0,32;0,77;0,38;1,79;0,58;0,0;37,63;1,09;3,78;2,5;3,59;24,36;1,79;3,21;1,6;26,28;3,46;4,74;0,32;0,58;1,03;0,13;0,71;2,31;-1,6;0,0;1,41;0,0;0,0;0,0;4,04;0,83
