Season;Age;Squad;Country;Comp;LgRank;90s;Matches;SoT%;Cmp%;Cmp%.1;Cmp%.2;Cmp%.3;Tkl%;Succ%;Tkld%;Min%;Won%;MP_per90;Starts_per90;Min_per90;Gls_per90;Ast_per90;G+A_per90;G-PK_per90;PK_per90;PKatt_per90;CrdY_per90;CrdR_per90;xG_per90;npxG_per90;xAG_per90;npxG+xAG_per90;PrgC_per90;PrgP_per90;PrgR_per90;Gls.1_per90;Ast.1_per90;G+A.1_per90;G-PK.1_per90;G+A-PK_per90;xG.1_per90;xAG.1_per90;xG+xAG_per90;npxG.1_per90;npxG+xAG.1_per90;Sh_per90;SoT_per90;Sh/90_per90;SoT/90_per90;G/Sh_per90;G/SoT_per90;Dist_per90;FK_per90;npxG/Sh_per90;G-xG_per90;np:G-xG_per90;Cmp_per90;Att_per90;TotDist_per90;PrgDist_per90;Cmp.1_per90;Att.1_per90;Cmp.2_per90;Att.2_per90;Cmp.3_per90;Att.3_per90;xA_per90;A-xAG_per90;KP_per90;1/3_per90;PPA_per90;CrsPA_per90;Live_per90;Dead_per90;TB_per90;Sw_per90;Crs_per90;TI_per90;CK_per90;In_per90;Out_per90;Str_per90;Off_per90;Blocks_per90;SCA_per90;SCA90_per90;PassLive_per90;PassDead_per90;TO_per90;Fld_per90;Def_per90;GCA_per90;GCA90_per90;PassLive.1_per90;PassDead.1_per90;TO.1_per90;Fld.1_per90;Def.1_per90;Tkl_per90;TklW_per90;Def 3rd_per90;Mid 3rd_per90;Att 3rd_per90;Tkl.1_per90;Lost_per90;Pass_per90;Int_per90;Tkl+Int_per90;Clr_per90;Err_per90;Touches_per90;Def Pen_per90;Att Pen_per90;Succ_per90;Tkld_per90;Carries_per90;CPA_per90;Mis_per90;Dis_per90;Rec_per90;Mn/MP_per90;Mn/Start_per90;Compl_per90;Subs_per90;Mn/Sub_per90;unSub_per90;PPM_per90;onG_per90;onGA_per90;+/-_per90;+/-90_per90;On-Off_per90;onxG_per90;onxGA_per90;xG+/-_per90;xG+/-90_per90;On-Off.1_per90;2CrdY_per90;Fls_per90;PKwon_per90;PKcon_per90;OG_per90;Recov_per90;Won_per90
2023-2024;18;Rennes;fr FRA;1. Ligue 1;10th;18,1;Matches;38.2;73.9;80.5;77.7;59.4;30.3;60.4;29.2;53.1;28.6;1,71;0,94;89,83;0,22;0,22;0,44;0,22;0,0;0,0;0,17;0,0;0,13;0,13;0,2;0,34;4,31;6,69;9,5;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,02;1,88;0,72;0,1;0,04;0,01;0,02;1,06;0,0;0,0;0,09;0,09;31,82;43,04;551,99;168,34;14,81;18,4;12,49;16,08;3,48;5,86;0,2;0,02;1,71;3,54;2,49;0,44;40,55;2,27;0,33;0,33;3,87;0,22;0,99;0,61;0,39;0,0;0,22;1,33;4,86;0,27;3,09;0,22;0,77;0,39;0,17;0,66;0,04;0,33;0,0;0,17;0,06;0,06;1,77;0,99;0,61;0,77;0,39;0,55;1,27;1,6;0,77;2,54;0,44;0,0;58,34;0,77;3,87;3,54;1,71;45,75;1,6;3,2;2,43;45,69;2,87;4,14;0,33;0,77;1,38;0,06;0,07;1,66;1,16;0,5;0,03;0,03;1,69;1,15;0,54;0,03;0,02;0,0;1,93;0,06;0,06;0,0;5,3;0,33
2024-2025;19;Paris S-G;fr FRA;1. Ligue 1;1st;19,2;Matches;36.4;82.3;90.9;82.7;54.5;47.1;44.2;47.3;56.5;44.4;1,61;0,94;90,1;0,31;0,31;0,62;0,31;0,0;0,0;0,05;0,0;0,27;0,27;0,41;0,68;5,05;7,24;12,08;0,02;0,02;0,03;0,02;0,03;0,01;0,02;0,03;0,01;0,03;2,86;1,04;0,15;0,05;0,01;0,02;0,93;0,0;0,0;0,05;0,05;48,59;59,01;724,79;174,53;26,98;29,69;17,19;20,78;2,5;4,58;0,3;-0,09;2,86;4,32;2,66;0,83;55,52;3,44;0,42;0,36;4,06;1,25;1,2;0,42;0,26;0,05;0,05;1,09;5,68;0,29;4,38;0,05;0,73;0,26;0,05;1,25;0,07;0,78;0,0;0,21;0,16;0,05;2,5;1,56;0,78;0,99;0,73;1,25;1,41;1,35;0,68;3,18;0,36;0,0;76,09;0,21;6,41;2,97;3,18;46,82;2,45;2,81;1,93;60,62;2,92;3,91;0,26;0,68;1,51;0,05;0,13;2,66;1,09;1,56;0,08;-0,01;2,56;0,91;1,65;0,09;-0,01;0,0;1,46;0,1;0,0;0,0;4,84;0,42
