Season,Age,Squad,Country,Comp,LgRank,90s,Matches,SoT%,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Tkl%,Succ%,Tkld%,Min%,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Gls.1_per90,Ast.1_per90,G+A.1_per90,G-PK.1_per90,G+A-PK_per90,xG.1_per90,xAG.1_per90,xG+xAG_per90,npxG.1_per90,npxG+xAG.1_per90,Sh_per90,SoT_per90,Sh/90_per90,SoT/90_per90,G/Sh_per90,G/SoT_per90,Dist_per90,FK_per90,npxG/Sh_per90,G-xG_per90,np:G-xG_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,xA_per90,A-xAG_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,SCA90_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,GCA90_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,PPM_per90,onG_per90,onGA_per90,+/-_per90,+/-90_per90,On-Off_per90,onxG_per90,onxGA_per90,xG+/-_per90,xG+/-90_per90,On-Off.1_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
2021-2022,16,Rennes,fr FRA,1. Ligue 1,4th,,Matches,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-2023,17,Rennes,fr FRA,1. Ligue 1,4th,12.4,Matches,28.6,77.5,78.8,81.6,70.4,40.6,60.8,29.1,32.6,43.5,2.1,0.89,89.92,0.24,0.08,0.32,0.24,0.0,0.0,0.4,0.0,0.13,0.13,0.12,0.25,3.15,4.6,6.69,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.02,1.69,0.48,0.14,0.04,0.01,0.04,1.69,0.0,0.01,0.11,0.11,28.31,36.53,484.19,107.98,13.47,17.1,10.4,12.74,3.06,4.35,0.1,-0.04,1.21,3.31,1.05,0.08,35.24,1.21,0.24,0.08,2.42,0.08,0.97,0.48,0.24,0.0,0.08,0.32,2.82,0.23,1.85,0.24,0.24,0.24,0.16,0.16,0.01,0.16,0.0,0.0,0.0,0.0,2.98,1.45,0.81,1.85,0.32,1.05,1.53,1.29,1.05,4.03,0.24,0.0,52.5,0.81,2.74,3.87,1.85,40.48,0.73,2.66,2.58,37.34,3.47,5.48,0.0,1.21,2.02,0.24,0.14,1.77,1.13,0.65,0.05,-0.02,1.44,1.25,0.19,0.02,-0.03,0.0,2.98,0.0,0.0,0.0,5.16,0.81
2023-2024,18,Rennes,fr FRA,1. Ligue 1,10th,18.1,Matches,38.2,73.9,80.5,77.7,59.4,30.3,60.4,29.2,53.1,28.6,1.71,0.94,89.83,0.22,0.22,0.44,0.22,0.0,0.0,0.17,0.0,0.13,0.13,0.2,0.34,4.31,6.69,9.5,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,1.88,0.72,0.1,0.04,0.01,0.02,1.06,0.0,0.0,0.09,0.09,31.82,43.04,551.99,168.34,14.81,18.4,12.49,16.08,3.48,5.86,0.2,0.02,1.71,3.54,2.49,0.44,40.55,2.27,0.33,0.33,3.87,0.22,0.99,0.61,0.39,0.0,0.22,1.33,4.86,0.27,3.09,0.22,0.77,0.39,0.17,0.66,0.04,0.33,0.0,0.17,0.06,0.06,1.77,0.99,0.61,0.77,0.39,0.55,1.27,1.6,0.77,2.54,0.44,0.0,58.34,0.77,3.87,3.54,1.71,45.75,1.6,3.2,2.43,45.69,2.87,4.14,0.33,0.77,1.38,0.06,0.07,1.66,1.16,0.5,0.03,0.03,1.69,1.15,0.54,0.03,0.02,0.0,1.93,0.06,0.06,0.0,5.3,0.33
2024-2025,19,Paris S-G,fr FRA,1. Ligue 1,1st,19.2,Matches,36.4,82.3,90.9,82.7,54.5,47.1,44.2,47.3,56.5,44.4,1.61,0.94,90.1,0.31,0.31,0.62,0.31,0.0,0.0,0.05,0.0,0.27,0.27,0.41,0.68,5.05,7.24,12.08,0.02,0.02,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0.03,2.86,1.04,0.15,0.05,0.01,0.02,0.93,0.0,0.0,0.05,0.05,48.59,59.01,724.79,174.53,26.98,29.69,17.19,20.78,2.5,4.58,0.3,-0.09,2.86,4.32,2.66,0.83,55.52,3.44,0.42,0.36,4.06,1.25,1.2,0.42,0.26,0.05,0.05,1.09,5.68,0.29,4.38,0.05,0.73,0.26,0.05,1.25,0.07,0.78,0.0,0.21,0.16,0.05,2.5,1.56,0.78,0.99,0.73,1.25,1.41,1.35,0.68,3.18,0.36,0.0,76.09,0.21,6.41,2.97,3.18,46.82,2.45,2.81,1.93,60.62,2.92,3.91,0.26,0.68,1.51,0.05,0.13,2.66,1.09,1.56,0.08,-0.01,2.56,0.91,1.65,0.09,-0.01,0.0,1.46,0.1,0.0,0.0,4.84,0.42
4 Seasons,4 Seasons,2 Clubs,,1 League,,49.7,,35.5,78.6,85.5,80.8,60.1,40.5,53.8,36.6,34.5,38.7,1.77,0.93,89.96,0.26,0.22,0.48,0.26,0.0,0.0,0.18,0.0,0.18,0.18,0.26,0.44,4.31,6.38,9.8,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,2.21,0.78,0.04,0.02,0.0,0.01,0.38,0.0,0.0,0.08,0.08,37.42,47.59,601.83,155.67,19.18,22.43,13.78,17.06,3.0,4.99,0.22,-0.04,2.03,3.78,2.19,0.5,45.01,2.45,0.34,0.28,3.58,0.58,1.07,0.5,0.3,0.02,0.12,0.99,4.67,0.09,3.28,0.16,0.62,0.3,0.12,0.76,0.02,0.46,0.0,0.14,0.08,0.04,2.35,1.33,0.72,1.13,0.5,0.95,1.39,1.43,0.8,3.16,0.36,0.0,63.74,0.56,4.57,3.4,2.31,44.85,1.71,2.92,2.27,49.38,1.03,1.47,0.22,0.85,0.52,0.12,0.04,2.07,1.13,0.95,0.02,0.0,1.96,1.08,0.88,0.02,0.0,0.0,2.01,0.06,0.02,0.0,5.09,0.48
Paris S-G (1 Season),Paris S-G (1 Season),Paris S-G (1 Season),,1 League,,19.2,,36.4,82.3,90.9,82.7,54.5,47.1,44.2,47.3,56.5,44.4,1.61,0.94,90.1,0.31,0.31,0.62,0.31,0.0,0.0,0.05,0.0,0.27,0.27,0.41,0.68,5.05,7.24,12.08,0.02,0.02,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0.03,2.86,1.04,0.15,0.05,0.01,0.02,0.93,0.0,0.0,0.05,0.05,48.59,59.01,724.79,174.53,26.98,29.69,17.19,20.78,2.5,4.58,0.3,-0.09,2.86,4.32,2.66,0.83,55.52,3.44,0.42,0.36,4.06,1.25,1.2,0.42,0.26,0.05,0.05,1.09,5.68,0.29,4.38,0.05,0.73,0.26,0.05,1.25,0.07,0.78,0.0,0.21,0.16,0.05,2.5,1.56,0.78,0.99,0.73,1.25,1.41,1.35,0.68,3.18,0.36,0.0,76.09,0.21,6.41,2.97,3.18,46.82,2.45,2.81,1.93,60.62,2.92,3.91,0.26,0.68,1.51,0.05,0.13,2.66,1.09,1.56,0.08,-0.01,2.56,0.91,1.65,0.09,-0.01,0.0,1.46,0.1,0.0,0.0,4.84,0.42
Rennes (3 Seasons),Rennes (3 Seasons),Rennes (3 Seasons),,1 League,,30.5,,34.5,75.2,79.8,79.1,63.1,35.4,60.5,29.2,27.7,36.4,1.87,0.92,89.87,0.23,0.16,0.39,0.23,0.0,0.0,0.26,0.0,0.13,0.13,0.17,0.3,3.84,5.84,8.36,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,1.8,0.62,0.06,0.02,0.0,0.01,0.65,0.0,0.0,0.1,0.1,30.39,40.39,524.43,143.8,14.26,17.87,11.64,14.72,3.31,5.25,0.16,-0.01,1.51,3.44,1.9,0.3,38.39,1.84,0.3,0.23,3.28,0.16,0.98,0.56,0.33,0.0,0.16,0.92,4.03,0.13,2.59,0.23,0.56,0.33,0.16,0.46,0.02,0.26,0.0,0.1,0.03,0.03,2.26,1.18,0.69,1.21,0.36,0.75,1.38,1.48,0.89,3.15,0.36,0.0,55.97,0.79,3.41,3.67,1.77,43.61,1.25,2.98,2.49,42.3,1.57,2.36,0.2,0.95,0.82,0.16,0.05,1.7,1.15,0.56,0.02,0.0,1.58,1.19,0.39,0.01,-0.0,0.0,2.36,0.03,0.03,0.0,5.25,0.52
,,,Country,Comp,LgRank,,Matches,SoT%,Cmp%,Cmp%,Cmp%,Cmp%,Tkl%,Succ%,Tkld%,Min%,Won%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
