Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-035,1995.0,24.7,1692,227,759,830,115,5,1692,15,8,53.3,6,40.0,892,3929,1772,14,15,0,11,9,1025,16,Matches,27,1.09,25,1,0,0,1,0,1,0.04,1,0,0,0,0,0
37,Kevin Behrens,de GER,FW,Wolfsburg,34-110,1991.0,1.9,106,2,7,45,54,16,106,1,0,0.0,1,100.0,41,165,80,2,1,1,10,1,81,18,Matches,8,4.24,5,1,0,1,1,0,0,0.0,0,0,0,0,0,0
206,Kevin Kampl,si SVN,MF,RB Leipzig,34-227,1990.0,17.7,1316,37,245,802,279,13,1316,19,13,68.4,6,31.6,793,4017,2024,21,34,3,13,12,957,32,Matches,44,2.49,39,4,1,0,0,0,5,0.28,5,0,0,0,0,0
285,Kevin Müller,de GER,GK,Heidenheim,34-070,1991.0,32.7,1393,1157,1372,21,0,0,1393,0,0,,0,,779,3495,1897,0,0,0,2,0,690,0,Matches,4,0.12,2,2,0,0,0,0,1,0.03,0,1,0,0,0,0
330,Kevin Paredes,us USA,DF,Wolfsburg,22-017,2003.0,1.4,64,3,20,22,23,5,64,3,0,0.0,3,100.0,39,210,86,1,1,0,2,1,48,12,Matches,6,4.39,4,0,0,0,2,0,1,0.73,1,0,0,0,0,0
419,Kevin Stöger,at AUT,MF,Gladbach,31-270,1993.0,17.2,1318,31,189,666,469,34,1316,36,17,47.2,15,41.7,699,3680,1757,40,39,5,29,25,911,95,Matches,106,6.15,60,30,5,2,9,0,8,0.46,7,1,0,0,0,0
439,Kevin Trapp,de GER,GK,Eint Frankfurt,34-320,1990.0,25.5,1001,860,996,5,0,0,1001,0,0,,0,,642,2898,1619,0,0,0,1,0,557,0,Matches,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
461,Kevin Vogt,de GER,DF,Union Berlin,33-243,1991.0,15.2,1030,139,524,508,10,2,1029,5,4,80.0,1,20.0,560,2491,1303,11,3,1,5,2,619,2,Matches,17,1.12,15,2,0,0,0,0,0,0.0,0,0,0,0,0,0
462,Kevin Volland,de GER,"FW,MF",Union Berlin,32-298,1992.0,0.7,20,0,1,10,9,4,20,0,0,,0,,12,10,3,0,0,0,1,2,14,4,Matches,1,1.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
120,Kilian Fischer,de GER,DF,Wolfsburg,24-224,2000.0,25.5,1529,87,527,666,348,20,1529,23,10,43.5,13,56.5,704,4025,2047,51,31,5,31,9,794,89,Matches,39,1.53,33,4,0,1,0,1,2,0.08,2,0,0,0,0,0
396,Kiliann Sildillia,fr FRA,DF,Freiburg,23-008,2002.0,8.9,576,38,191,276,111,11,576,9,6,66.7,2,22.2,253,1207,553,11,10,2,8,6,315,34,Matches,16,1.8,9,6,0,1,0,0,1,0.11,1,0,0,0,0,0
