Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,Recov,Won,Won%
Leicester City,32,26.6,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46,80,2.11,209,131,63.2,6,7,25,3,7.9,3,1,0,25.0,0,5,3,74.6,0.35,-2.4,-0.06,181,688,26.3,1183,178,44.9,32.0,325,48.3,36.0,599,36,6.0,36,0.95,20.7,332,105,31.6,8.74,2.76,0.09,0.3,17.3,0.09,0.4,0.6,234016,83996,24.1,-0.1,252,953,216,67,15728,1695,52,47,621,664,86,29,4,63,319,585,15.39,427,49,44,34,5,56,1.47,37,4,6,4,0,728,431,361,278,89,336,48.3,359,307,327,1055,987,31,21748,2881,632,264,41.4,304,47.6,12276,143,500,336,13828,1072,90,100,82,250,168,19,174,0.66,33,80,-47,-1.24,32.6,71.9,-39.3,-1.03,0,420,3,4,1478,503,46.5
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,41,1.08,138,98,71.0,25,9,4,14,36.8,1,1,0,50.0,0,3,2,42.2,0.3,3.2,0.08,102,325,31.4,1108,179,24.6,29.0,239,21.8,24.5,370,17,4.6,58,1.53,14.0,639,215,33.6,16.82,5.66,0.12,0.35,15.9,0.12,2.8,0.8,312343,104887,54.3,3.4,509,1583,430,83,19998,1700,69,128,729,682,145,72,1,60,330,1151,30.29,881,70,82,27,18,147,3.87,111,7,12,6,1,642,391,271,267,104,340,51.8,316,270,299,941,724,31,25905,2422,1315,301,44.5,310,45.8,14931,322,532,350,18113,1910,90,100,82,252,165,20,177,2.21,86,41,45,1.18,82.2,38.6,43.6,1.15,1,430,6,2,1621,406,52.5
Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,44,1.16,128,86,68.8,21,8,9,13,34.2,4,0,0,0.0,1,4,2,46.3,0.35,4.3,0.11,112,269,41.6,1191,163,19.5,27.9,190,19.5,24.0,357,19,5.3,61,1.61,17.5,603,208,34.5,15.87,5.47,0.11,0.33,16.9,0.11,2.9,3.1,349984,98901,53.8,-3.2,472,1685,440,62,22822,1576,86,90,659,603,127,37,4,45,341,1096,28.84,852,69,68,41,10,125,3.29,95,3,11,4,2,497,299,183,216,98,214,47.7,235,242,229,726,619,35,28103,2092,1348,377,47.2,301,37.7,18077,404,476,395,21242,1920,90,100,85,286,131,16,207,1.87,72,44,28,0.74,68.1,47.7,20.4,0.54,1,287,4,4,1437,310,48.1
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35,54,1.42,149,96,65.8,11,9,18,10,26.3,3,1,0,25.0,1,10,2,54.1,0.34,2.1,0.05,131,502,26.1,1206,148,32.0,34.1,247,47.0,36.4,455,26,5.7,30,0.79,12.0,524,168,32.1,13.79,4.42,0.07,0.23,17.4,0.1,-10.6,-11.4,278154,89708,35.6,-10.7,406,1141,335,73,18750,1596,94,107,630,646,96,45,11,69,355,939,24.71,711,78,38,36,15,70,1.84,45,4,5,6,4,817,493,394,305,118,400,55.3,323,279,358,1175,759,26,24734,2553,967,252,40.6,323,52.0,15116,230,521,353,16672,1433,90,100,81,256,161,23,180,1.11,44,54,-10,-0.26,52.6,53.8,-1.3,-0.03,1,403,4,4,1736,486,49.9
Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,47,1.24,161,115,71.4,20,6,12,13,34.2,1,1,0,50.0,0,4,2,47.7,0.29,2.7,0.07,90,337,26.7,863,246,22.7,25.2,251,56.2,43.6,486,49,10.1,75,1.97,15.3,519,163,31.4,13.66,4.29,0.12,0.37,15.9,0.12,2.2,1.5,260464,91034,42.2,4.0,399,1149,399,70,17088,1739,78,94,705,704,118,27,17,71,351,938,24.68,711,73,39,37,25,115,3.03,94,7,3,4,2,603,371,275,235,93,306,50.7,298,270,270,873,884,34,23032,2284,1082,282,42.9,298,45.4,13016,263,491,438,15294,1583,90,100,83,254,163,18,179,1.74,68,47,21,0.55,63.8,45.5,18.3,0.48,0,394,4,2,1632,487,51.1
Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,0,0,0.0,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,662,83,73.7,44.7,323,65.0,47.0,710,19,2.7,12,0.32,8.7,460,162,35.2,12.11,4.26,0.12,0.33,17.5,0.1,11.5,10.8,185832,74897,29.9,9.0,333,974,241,64,12658,1617,59,62,621,615,71,76,0,91,282,798,21.0,569,74,35,40,20,91,2.39,58,10,3,8,4,698,419,406,225,67,343,51.2,327,270,322,1020,1220,24,18996,2463,785,259,44.6,233,40.1,8768,187,563,324,10733,1117,90,100,83,249,167,18,174,1.71,58,46,12,0.32,45.5,48.9,-3.4,-0.09,2,401,3,3,1588,570,50.5
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,86,2.26,245,157,67.8,2,6,30,3,7.9,7,2,0,22.2,0,12,0,83.8,0.32,-2.2,-0.06,235,707,33.2,1224,172,44.7,29.5,297,53.9,41.9,587,35,6.0,27,0.71,6.5,341,106,31.1,8.97,2.79,0.07,0.24,16.3,0.09,-7.7,-5.9,263566,84964,23.9,-8.8,269,989,218,60,16979,1533,43,60,548,493,102,33,0,49,272,616,16.21,427,56,51,28,8,42,1.11,23,5,3,1,1,652,378,310,266,76,280,47.9,304,232,305,957,988,51,22776,3003,688,312,42.4,333,45.2,12656,165,486,355,15394,1118,90,100,80,237,180,22,162,0.32,26,86,-60,-1.58,32.7,84.8,-52.1,-1.37,0,459,2,9,1440,468,52.6
Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,65,1.71,180,119,65.6,11,5,22,6,15.8,3,0,0,0.0,0,8,4,66.6,0.36,5.6,0.15,59,195,30.3,1047,192,16.6,27.2,272,7.7,16.3,520,49,9.4,45,1.18,11.1,493,177,35.9,12.97,4.66,0.12,0.33,16.0,0.12,2.2,2.3,275248,93006,36.3,2.6,375,1254,369,83,18013,1884,54,70,752,705,108,66,0,63,437,875,23.03,648,67,53,36,12,106,2.79,79,7,8,4,1,661,414,285,271,105,296,49.5,302,289,322,983,821,41,24315,2626,1001,308,37.9,425,52.3,15073,249,538,426,16373,1582,90,100,82,261,158,22,183,1.0,64,65,-1,-0.03,58.8,63.3,-4.5,-0.12,1,446,4,3,1659,422,49.1
West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,62,1.63,186,127,68.3,11,10,17,7,18.4,3,0,0,0.0,1,8,3,57.9,0.3,-1.1,-0.03,212,610,34.8,1167,174,37.4,32.1,311,55.9,41.9,614,25,4.1,42,1.11,15.0,473,137,29.0,12.45,3.61,0.08,0.29,16.3,0.1,-4.0,-4.7,258653,90743,32.0,-4.9,331,1075,267,72,16678,1612,53,133,613,612,82,57,1,73,343,815,21.45,582,69,48,34,17,67,1.76,42,5,3,3,1,654,388,317,253,84,290,54.5,242,271,331,985,1037,28,22887,2942,839,347,43.8,360,45.4,11796,175,492,392,14712,1214,90,100,81,243,172,22,170,1.13,46,62,-16,-0.42,47.0,59.7,-12.7,-0.33,2,443,2,3,1558,587,51.2
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08,69,1.82,168,100,63.1,12,6,20,8,21.1,7,2,0,22.2,2,11,3,59.7,0.32,-6.3,-0.17,153,532,28.8,1020,156,41.5,14.0,244,44.7,37.0,562,40,7.1,57,1.5,,431,155,36.0,11.34,4.08,0.12,0.34,18.1,0.1,9.3,9.3,246100,83847,26.6,6.6,323,1011,276,72,16133,1689,55,122,568,696,98,31,3,62,328,756,19.89,547,57,58,34,24,96,2.53,77,5,7,2,4,801,471,412,305,84,373,55.8,296,300,298,1099,947,25,22329,2578,729,324,44.3,315,43.1,12486,146,591,369,14358,1179,90,100,83,250,167,18,174,1.11,54,69,-15,-0.39,43.7,58.1,-14.5,-0.38,2,480,0,9,1659,451,48.7
