Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
,Alain Taho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
373,Alan Matturro,uy URU,DF,Genoa,19,2004,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,4,3,75.0,0.40,0.30,0.00,0.00,15.2,0,0.05,-0.2,-0.2,280,359,78.0,5637,1806,72,89,80.9,181,205,88.3,25,50,50.0,0.3,-0.2,3,10,4,2,325,33,0,1,8,28,0,0,0,0,1,7,9,0.90,7,1,0,0,1,0,0.00,0,0,0,0,0,11,6,6,5,0,3,21.4,11,7,14,25,38,0,458,51,9,3,60.0,2,40.0,218,1,6,3,260,69,26.3,90,9,4,23,12,1.15,7,13,-6,-0.60,-0.39,7.4,12.9,-5.6,-0.56,-0.40,0,10,0,1,0,26,16,50.0
247,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,27,1997,24,16,1273,14.1,6,1,7,4,2,2,2,0,4.5,2.9,1.8,4.8,35,37,59,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34,Matches,25,13,52.0,1.77,0.92,0.16,0.31,20.8,2,0.12,+1.5,+1.1,415,500,83.0,5921,1164,226,243,93.0,147,175,84.0,14,32,43.8,1.0,-0.8,15,34,2,0,459,40,1,1,24,5,7,6,0,0,1,14,39,2.76,26,2,2,4,0,5,0.35,3,0,0,2,0,9,5,2,4,3,7,41.2,10,5,6,15,9,1,624,9,32,15,55.6,6,22.2,402,11,29,14,466,53,37.2,68,3,8,23,3,1.71,22,12,+10,+0.71,+0.33,16.8,16.3,+0.4,+0.03,-0.21,0,13,1,0,0,53,4,25.0
120,Alberto Cerri,it ITA,FW,Como,28,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Matches,4,1,25.0,4.14,1.03,0.00,0.00,11.2,0,0.25,-1.0,-1.0,15,23,65.2,184,7,10,16,62.5,2,4,50.0,1,1,100.0,0.1,0.0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,1,1.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,1,0,36,1,9,0,,0,,20,1,2,3,29,17,2.5,,0,5,17,8,0.20,0,4,-4,-4.14,-4.16,1.7,1.2,+0.6,+0.60,+0.55,0,3,0,0,0,3,4,50.0
,Alberto Chiesurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,8,,,,,,,,,,,,,,,,,,,
175,Alberto Dossena,it ITA,DF,Como,25,1998,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Matches,12,3,25.0,0.59,0.15,0.00,0.00,11.3,0,0.07,-0.8,-0.8,894,1020,87.6,16693,5441,310,336,92.3,507,547,92.7,65,110,59.1,0.4,+1.3,5,33,1,0,952,65,0,3,1,4,0,0,0,0,3,8,11,0.54,9,0,1,0,0,2,0.10,1,0,0,0,0,33,20,23,8,2,16,57.1,12,11,22,55,89,1,1220,173,20,4,66.7,2,33.3,693,0,8,3,776,79,53.4,87,14,3,29,3,0.91,25,34,-9,-0.44,-0.78,22.7,22.9,-0.2,-0.01,-0.16,0,22,0,2,0,68,59,71.1
244,Alberto Grassi,it ITA,MF,Empoli,29,1995,28,27,2203,24.5,1,0,1,1,0,0,8,0,1.0,1.0,0.8,1.9,18,74,24,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,Matches,11,4,36.4,0.45,0.16,0.09,0.25,15.7,0,0.09,0.0,0.0,634,850,74.6,10794,3479,261,320,81.6,314,388,80.9,40,91,44.0,0.7,-0.8,7,65,7,0,807,37,2,1,10,4,0,0,0,0,6,14,27,1.10,21,0,0,3,1,2,0.08,1,0,0,1,0,39,21,16,18,5,14,63.6,8,10,33,72,43,1,1058,67,26,5,41.7,6,50.0,441,1,26,18,542,79,64.4,81,13,1,17,1,0.68,20,36,-16,-0.65,+0.09,22.2,30.9,-8.7,-0.35,+0.31,0,28,1,0,0,124,29,58.0
353,Alberto Manzoni,it ITA,MF,Atalanta,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches,1,0,0.0,15.00,0.00,0.00,,23.7,0,0.06,-0.1,-0.1,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,,0.0,0.0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,15.00,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,0,0,0,,0,,8,0,0,0,13,6,0.2,,0,1,6,2,0.00,0,0,0,0.00,-1.08,1.0,0.2,+0.8,+12.21,+11.53,0,1,0,0,0,0,1,100.0
392,Alberto Moreno,es ESP,DF,Como,32,1992,24,21,1727,19.2,0,0,0,0,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,14,6,42.9,0.73,0.31,0.00,0.00,25.6,0,0.03,-0.4,-0.4,893,1082,82.5,15712,5538,383,420,91.2,417,475,87.8,76,140,54.3,1.6,-1.2,19,63,23,12,909,170,1,5,49,139,0,0,0,0,3,20,36,1.88,32,3,0,0,0,2,0.10,2,0,0,0,0,25,11,17,8,0,12,46.2,14,9,14,39,40,2,1224,58,17,3,42.9,3,42.9,722,4,18,3,805,72,50.5,79,9,3,24,6,1.21,20,26,-6,-0.31,-0.47,21.0,23.3,-2.2,-0.12,-0.36,0,17,0,0,0,74,11,35.5
435,Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0.0,0.0,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,37,29,0,0,,0,,23,0,0,0,15,90,2.6,90,1,0,,37,0.00,2,3,-1,-1.00,-0.86,0.7,2.0,-1.4,-1.35,-0.96,0,0,0,0,0,2,0,
139,Alberto costa,pt POR,DF,Juventus,20,2003,9,3,357,4.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,8,8,25,0.00,0.25,0.25,0.00,0.25,0.15,0.05,0.20,0.15,0.20,Matches,7,0,0.0,1.76,0.00,0.00,,15.7,0,0.09,-0.6,-0.6,176,212,83.0,2472,679,111,121,91.7,54,64,84.4,4,11,36.4,0.1,+0.8,2,7,1,0,191,20,0,0,2,17,0,0,0,0,1,4,7,1.76,4,0,1,0,0,1,0.25,1,0,0,0,0,14,10,7,5,2,7,77.8,2,4,4,18,14,0,276,13,14,4,36.4,6,54.5,148,3,9,0,170,40,10.4,71,1,6,24,9,1.56,7,3,+4,+1.01,+0.45,5.0,1.9,+3.1,+0.78,+0.37,0,8,0,0,0,23,5,62.5
278,Alejandro Jiménez,es ESP,"DF,FW",Milan,19,2005,22,14,1266,14.1,0,1,1,0,0,0,6,0,0.8,0.8,1.3,2.1,55,37,72,0.00,0.07,0.07,0.00,0.07,0.06,0.09,0.15,0.06,0.15,Matches,15,5,33.3,1.07,0.36,0.00,0.00,22.1,0,0.06,-0.8,-0.8,452,564,80.1,7535,1817,222,257,86.4,191,225,84.9,33,52,63.5,1.3,-0.3,12,33,12,5,496,68,3,3,37,58,0,0,0,0,0,21,34,2.42,26,0,3,3,0,4,0.28,3,0,0,0,0,24,13,8,14,2,11,40.7,16,21,15,39,23,0,729,23,37,26,55.3,20,42.6,423,17,27,13,437,58,37.0,71,3,8,35,6,1.68,16,15,+1,+0.07,-0.64,18.7,14.2,+4.5,+0.32,-0.42,0,12,0,0,0,69,9,40.9
532,Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,163,225,72.4,4097,2916,40,40,100.0,79,80,98.8,43,104,41.3,0.0,0.0,1,2,0,0,152,73,0,0,0,0,0,0,0,0,0,0,2,0.29,2,0,0,0,0,0,0.00,0,0,0,0,0,1,0,1,0,0,1,50.0,1,0,1,2,1,0,244,212,0,0,,0,,137,0,0,0,115,89,18.2,89,6,0,,31,0.71,7,11,-4,-0.58,-0.19,10.7,11.5,-0.8,-0.12,+0.26,0,0,0,0,0,15,0,
49,Alessandro Bastoni,it ITA,DF,Inter,25,1999,33,31,2401,26.7,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83,0.04,0.19,0.22,0.04,0.22,0.03,0.09,0.12,0.03,0.12,Matches,13,2,15.4,0.49,0.07,0.08,0.50,13.3,0,0.06,+0.2,+0.2,1966,2225,88.4,36493,11275,832,872,95.4,882,951,92.7,226,338,66.9,2.8,+2.7,27,128,49,24,1990,223,3,22,64,115,0,0,0,0,12,18,71,2.66,61,4,0,3,2,11,0.41,9,1,0,1,0,46,24,26,14,6,20,66.7,10,12,22,68,52,1,2446,196,28,7,43.8,5,31.3,1633,5,26,5,1815,73,70.2,76,8,2,19,3,2.15,64,21,+43,+1.61,+1.52,49.2,24.2,+25.0,+0.94,+0.46,1,44,0,0,0,96,44,64.7
,Alessandro Berardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,,29,1.00,1,1,0,,,,,,,,,,,,,,,
,Alessandro Berretta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
62,Alessandro Bianco,it ITA,MF,Monza,21,2002,34,29,2600,28.9,1,0,1,1,0,0,9,0,1.3,1.3,1.2,2.5,35,125,24,0.03,0.00,0.03,0.03,0.03,0.04,0.04,0.09,0.04,0.09,Matches,26,6,23.1,0.90,0.21,0.04,0.17,23.7,0,0.05,-0.3,-0.3,1314,1525,86.2,25818,6439,426,483,88.2,697,749,93.1,162,224,72.3,1.3,-1.2,18,139,16,3,1438,80,4,13,23,4,0,0,0,0,7,23,38,1.32,33,1,0,0,0,0,0.00,0,0,0,0,0,51,28,26,17,8,27,65.9,14,26,22,73,53,4,1818,97,14,17,41.5,19,46.3,1186,4,40,24,1289,76,76.0,84,17,5,30,1,0.47,19,60,-41,-1.42,-1.42,22.9,44.9,-21.9,-0.76,-0.45,0,43,0,1,0,122,16,36.4
63,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,26,6,23.1,0.90,0.21,0.04,0.17,23.7,0,0.05,-0.3,-0.3,1314,1525,86.2,25818,6439,426,483,88.2,697,749,93.1,162,224,72.3,1.3,-1.2,18,139,16,3,1438,80,4,13,23,4,0,0,0,0,7,23,38,1.32,33,1,0,0,0,0,0.00,0,0,0,0,0,51,28,26,17,8,27,65.9,14,26,22,73,53,4,1818,97,14,17,41.5,19,46.3,1186,4,40,24,1289,76,76.0,84,17,5,30,1,0.47,19,60,-41,-1.42,-1.42,22.9,44.9,-21.9,-0.76,-0.45,0,43,0,1,0,122,16,36.4
84,Alessandro Buongiorno,it ITA,DF,Napoli,25,1999,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8,0.05,0.00,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,Matches,8,4,50.0,0.37,0.19,0.13,0.25,11.0,0,0.10,+0.2,+0.2,1161,1279,90.8,20369,6363,454,487,93.2,634,662,95.8,62,104,59.6,0.6,-0.6,5,67,3,0,1223,53,0,2,1,3,0,0,0,0,3,8,19,0.89,18,0,0,0,0,2,0.09,2,0,0,0,0,39,23,26,12,1,24,75.0,8,12,35,74,73,2,1489,125,15,1,14.3,3,42.9,902,1,13,8,1059,87,56.3,87,20,0,,4,2.14,33,14,+19,+0.89,+0.11,31.7,18.1,+13.6,+0.64,+0.05,0,17,0,0,0,84,43,67.2
,Alessandro Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,14,,,,,,,,,,,,,,,,,,,
127,Alessandro Circati,au AUS,DF,Parma,20,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches,2,0,0.0,0.33,0.00,0.00,,7.5,0,0.16,-0.3,-0.3,197,229,86.0,3773,1058,64,74,86.5,110,120,91.7,18,27,66.7,0.0,0.0,1,6,0,0,202,27,0,0,0,0,0,0,0,0,0,1,3,0.50,2,0,0,0,0,0,0.00,0,0,0,0,0,7,5,6,1,0,1,50.0,1,1,3,10,42,1,301,69,3,0,,0,,123,0,4,2,158,90,15.8,90,6,0,,6,1.33,9,9,0,0.00,+0.44,8.9,8.9,0.0,-0.01,+0.41,0,4,0,0,0,11,17,81.0
162,Alessandro Deiola,it ITA,MF,Cagliari,28,1995,29,16,1432,15.9,2,1,3,2,0,0,6,0,1.7,1.7,0.6,2.4,11,40,36,0.13,0.06,0.19,0.13,0.19,0.11,0.04,0.15,0.11,0.15,Matches,18,5,27.8,1.13,0.31,0.11,0.40,18.1,0,0.10,+0.3,+0.3,384,523,73.4,6550,1881,177,214,82.7,160,205,78.0,34,58,58.6,0.7,+0.4,6,45,8,1,508,13,2,7,14,7,0,0,0,0,2,20,26,1.63,19,1,0,2,1,3,0.19,2,0,0,0,0,31,20,11,17,3,10,31.3,22,14,13,44,38,0,686,49,20,3,75.0,1,25.0,332,1,15,11,398,49,41.9,74,5,13,20,8,0.83,16,22,-6,-0.38,+0.08,18.8,25.1,-6.3,-0.40,-0.11,0,32,0,0,0,68,37,56.1
,Alessandro Dellavalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
,Alessandro Di Pardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,
210,Alessandro Florenzi,it ITA,FW,Milan,33,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,4,75.0,54,43,1,1,100.0,2,2,100.0,0,1,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,,0,,4,0,0,0,4,5,0.1,,0,1,5,10,3.00,0,0,0,0.00,-0.47,0.0,0.2,-0.2,-3.21,-3.81,0,0,0,0,0,0,0,
,Alessandro Fontanarosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,
