Rk,Player,Nation,Pos,Squad,Age,Born,90s,xG,npxG,xAG,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,xA,A-xAG,SCA90,GCA90,Tkl%,Succ%,Tkld%,Min%,PPM,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Won%,MP_per90,Starts_per90,Min_per90,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,FK_per90,Cmp_per90,Att_per90,TotDist_per90,PrgDist_per90,Cmp.1_per90,Att.1_per90,Cmp.2_per90,Att.2_per90,Cmp.3_per90,Att.3_per90,KP_per90,1/3_per90,PPA_per90,CrsPA_per90,Live_per90,Dead_per90,TB_per90,Sw_per90,Crs_per90,TI_per90,CK_per90,In_per90,Out_per90,Str_per90,Off_per90,Blocks_per90,SCA_per90,PassLive_per90,PassDead_per90,TO_per90,Fld_per90,Def_per90,GCA_per90,PassLive.1_per90,PassDead.1_per90,TO.1_per90,Fld.1_per90,Def.1_per90,Tkl_per90,TklW_per90,Def 3rd_per90,Mid 3rd_per90,Att 3rd_per90,Tkl.1_per90,Lost_per90,Pass_per90,Int_per90,Tkl+Int_per90,Clr_per90,Err_per90,Touches_per90,Def Pen_per90,Att Pen_per90,Succ_per90,Tkld_per90,Carries_per90,CPA_per90,Mis_per90,Dis_per90,Rec_per90,Mn/MP_per90,Mn/Start_per90,Compl_per90,Subs_per90,Mn/Sub_per90,unSub_per90,onG_per90,onGA_per90,+/-_per90,2CrdY_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,Won_per90
426.0,Ahmed Touba,dz ALG,DF,Mechelen,26.0,1998.0,22.2,1.6,1.6,0.4,2.0,0.09,0.0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,36.4,0.5,0.18,0.18,0.5,14.0,0.15,0.4,0.4,88.9,87.3,94.9,75.0,0.6,-0.4,0.9,0.05,54.8,28.6,71.4,73.9,1.32,0.32,0.57,31.8,27.8,4.0,0.18,0.43,67.4,1.04,0.99,89.91,0.09,0.0,0.09,0.09,0.0,0.0,0.27,0.0,0.27,4.19,0.18,0.5,0.18,0.0,54.5,61.31,1145.36,378.06,13.87,15.9,32.84,34.59,7.16,9.55,0.45,4.5,0.54,0.09,59.28,1.71,0.14,0.45,0.18,0.32,0.0,0.0,0.0,0.0,0.32,0.23,0.9,0.77,0.0,0.0,0.05,0.09,0.05,0.05,0.0,0.0,0.0,0.0,1.76,1.13,1.17,0.45,0.14,0.77,0.63,0.18,1.49,3.24,4.68,0.09,72.21,8.38,0.72,0.09,0.23,52.66,0.05,0.81,0.36,50.18,3.92,4.01,0.95,0.05,2.03,0.0,1.44,1.13,0.32,0.0,0.77,0.0,0.09,0.09,3.74,2.88
313.0,Aiden O'Neill,au AUS,MF,Standard Liège,26.0,1998.0,24.1,0.8,0.8,1.1,2.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Matches,6.7,0.62,0.04,0.0,0.0,22.0,0.06,-0.8,-0.8,80.4,82.9,86.2,65.1,1.2,-0.1,1.75,0.12,50.0,42.9,47.6,80.2,1.15,-0.54,-0.54,28.1,33.9,-5.8,-0.24,-0.01,50.0,1.04,1.0,89.83,0.0,0.04,0.04,0.0,0.0,0.0,0.29,0.04,0.54,3.53,0.46,0.62,0.04,0.0,32.45,40.37,580.87,185.6,12.7,15.31,14.98,17.39,3.49,5.35,0.46,3.57,0.37,0.04,39.09,1.24,0.0,0.17,0.29,0.08,0.0,0.0,0.0,0.0,0.04,0.83,1.74,1.41,0.08,0.0,0.08,0.08,0.12,0.12,0.0,0.0,0.0,0.0,2.41,1.58,0.91,1.2,0.29,1.12,1.12,0.87,0.95,3.36,2.07,0.04,49.92,3.61,0.58,0.37,0.41,33.03,0.08,0.95,0.83,29.92,3.61,3.65,0.91,0.04,1.87,0.0,0.71,1.24,-0.54,0.04,1.62,0.0,0.0,0.0,5.15,1.16
330.0,Aiham Ousou,sy SYR,DF,Charleroi,24.0,2000.0,22.4,0.9,0.9,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,33.3,0.53,0.18,0.0,0.0,11.6,0.07,-0.9,-0.9,86.7,89.7,93.2,68.4,0.4,-0.1,0.31,0.04,62.5,33.3,66.7,74.8,1.31,0.0,0.0,35.2,26.0,9.1,0.41,-0.09,61.2,1.16,0.98,90.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.62,2.77,0.22,0.54,0.18,0.0,38.21,44.06,779.06,300.18,11.25,12.54,20.85,22.37,5.31,7.77,0.09,2.46,0.18,0.04,41.61,2.41,0.09,0.09,0.04,0.13,0.0,0.0,0.0,0.0,0.04,0.4,0.31,0.22,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,1.52,0.98,1.12,0.36,0.04,0.67,0.4,0.31,1.79,3.3,5.71,0.0,56.12,8.84,0.8,0.04,0.09,34.91,0.0,0.67,0.22,32.14,3.48,3.97,0.94,0.18,0.62,0.04,1.12,1.12,0.0,0.0,1.34,0.0,0.04,0.0,3.75,2.32
318.0,Aimé Omgba,nl NED,"MF,FW",Gent,21.0,2002.0,0.6,0.6,0.6,0.0,0.6,1.67,0.0,1.67,1.67,1.67,0.93,0.03,0.97,0.93,0.97,Matches,100.0,3.33,3.33,0.5,0.5,9.3,0.28,0.4,0.4,86.1,78.6,100.0,100.0,0.0,0.0,3.33,0.0,100.0,100.0,0.0,2.0,0.54,5.0,4.83,2.2,1.5,0.7,1.16,1.38,33.3,5.0,0.0,90.0,1.67,0.0,1.67,1.67,0.0,0.0,0.0,0.0,5.0,8.33,8.33,3.33,3.33,0.0,51.67,60.0,796.67,116.67,18.33,23.33,23.33,23.33,3.33,3.33,1.67,8.33,1.67,0.0,58.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,1.67,0.0,1.67,1.67,5.0,8.33,0.0,78.33,8.33,3.33,1.67,0.0,51.67,0.0,3.33,0.0,48.33,30.0,,0.0,5.0,30.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.33,3.33
,Alama Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,Alan Minda,ec ECU,"FW,MF",Cercle Brugge,21.0,2003.0,14.5,2.7,2.7,2.3,5.0,0.07,0.07,0.14,0.07,0.14,0.19,0.16,0.34,0.19,0.34,Matches,44.1,2.35,1.04,0.03,0.07,18.8,0.08,-1.7,-1.7,67.6,72.8,74.3,46.7,1.4,-1.3,3.59,0.07,46.2,47.1,48.6,48.3,1.1,0.0,0.97,18.0,18.3,-0.3,-0.02,0.36,35.0,1.79,0.97,89.86,0.07,0.07,0.14,0.07,0.0,0.0,0.07,0.0,3.38,2.14,7.72,2.34,1.03,0.0,15.79,23.38,255.1,50.0,7.59,10.41,6.97,9.38,0.97,2.07,1.59,1.17,0.83,0.07,21.24,1.93,0.28,0.07,1.59,0.28,0.48,0.14,0.34,0.0,0.21,0.97,3.59,2.21,0.21,0.62,0.14,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.55,0.34,0.21,0.14,0.21,0.41,0.48,0.69,0.14,0.69,0.28,0.0,35.79,0.41,4.34,2.28,2.34,23.31,0.9,2.97,1.1,23.17,3.45,4.97,0.07,0.83,1.72,0.0,0.97,0.97,0.0,0.0,0.28,0.0,0.0,0.0,3.31,0.97
70.0,Alessio Castro-Montes,be BEL,"DF,FW",Union SG,27.0,1997.0,11.4,0.9,0.9,3.5,4.5,0.09,0.26,0.35,0.09,0.35,0.08,0.31,0.39,0.08,0.39,Matches,25.0,1.05,0.26,0.08,0.33,22.3,0.08,0.1,0.1,72.9,83.7,78.8,48.9,2.8,-0.5,3.94,0.26,44.4,34.3,54.3,38.0,2.22,0.61,-0.3,21.0,11.5,9.5,0.83,0.07,50.0,1.32,1.05,90.09,0.09,0.26,0.35,0.09,0.0,0.0,0.18,0.0,2.98,3.77,7.89,1.05,0.26,0.18,36.75,50.44,632.46,256.49,18.42,22.02,13.33,16.93,4.04,8.25,2.72,2.63,1.75,0.7,43.25,6.75,0.18,0.26,6.84,2.81,2.72,0.53,2.11,0.0,0.44,2.37,3.95,2.63,0.96,0.26,0.09,0.0,0.26,0.18,0.09,0.0,0.0,0.0,2.02,1.32,0.79,0.7,0.53,1.05,1.32,1.4,0.96,2.98,1.14,0.0,62.11,1.84,2.19,1.05,1.67,40.26,0.35,2.11,0.79,37.89,5.96,7.19,0.61,0.26,1.4,0.0,1.4,0.79,0.61,0.0,0.7,0.0,0.09,0.0,5.18,0.7
403.0,Alexandre Stanic,be BEL,"FW,MF",Charleroi,19.0,2004.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81,Matches,0.0,6.92,0.0,0.0,,11.8,0.12,-0.1,-0.1,100.0,,100.0,,0.0,0.0,0.0,0.0,,,,0.5,1.5,0.0,0.0,0.3,0.1,0.2,1.47,1.05,50.0,10.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,20.0,20.0,430.0,110.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,30.0,130.0,,0.0,10.0,130.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
404.0,Alexandre Stanic,be BEL,FW,Antwerp,19.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,6.92,0.0,0.0,,11.8,0.12,-0.1,-0.1,100.0,,100.0,,0.0,0.0,0.0,0.0,,,,0.5,1.5,0.0,0.0,0.3,0.1,0.2,1.47,1.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,Alexandro Calut,be BEL,"DF,MF",Standard Liège,21.0,2003.0,2.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,0.0,0.93,0.0,0.0,,19.8,0.03,-0.1,-0.1,76.1,80.6,80.4,72.7,0.1,-0.1,2.78,0.0,14.3,50.0,50.0,7.1,1.25,-1.4,-1.04,3.7,2.5,1.2,0.56,0.86,55.6,3.81,0.95,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,7.62,3.81,0.95,0.0,0.0,39.52,51.9,840.0,319.05,13.81,17.14,17.62,21.9,7.62,10.48,0.48,5.24,0.95,0.48,50.0,1.43,0.0,0.95,2.86,0.48,0.0,0.0,0.0,0.0,0.48,1.9,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.48,0.95,0.0,0.48,2.86,0.48,2.38,3.81,2.86,0.0,62.86,2.38,0.48,0.48,0.48,44.76,0.0,1.43,0.0,40.95,11.43,17.62,0.0,2.86,9.52,2.86,0.48,1.9,-1.43,0.0,1.9,0.0,0.0,0.0,4.76,2.38
