Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
426,Ahmed Touba,dz ALG,DF,Mechelen,26,1998,23,22,1996,22.2,2,0,2,2,0,0,6,0,1.6,1.6,0.4,2.0,6,93,4,0.09,0.00,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,11,4,36.4,0.50,0.18,0.18,0.50,14.0,0,0.15,+0.4,+0.4,1210,1361,88.9,25427,8393,308,353,87.3,729,768,94.9,159,212,75.0,0.6,-0.4,10,100,12,2,1316,38,3,10,4,7,0,0,0,0,7,5,20,0.90,17,0,0,1,2,1,0.05,1,0,0,0,0,39,25,26,10,3,17,54.8,14,4,33,72,104,2,1603,186,16,2,28.6,5,71.4,1169,1,18,8,1114,87,73.9,89,21,1,45,0,1.32,32,25,+7,+0.32,+0.57,31.8,27.8,+4.0,+0.18,+0.43,0,17,0,2,2,83,64,67.4
313,Aiden O'Neill,au AUS,MF,Standard Liège,26,1998,25,24,2165,24.1,0,1,1,0,0,0,7,1,0.8,0.8,1.1,2.0,13,85,11,0.00,0.04,0.04,0.00,0.04,0.03,0.05,0.08,0.03,0.08,Matches,15,1,6.7,0.62,0.04,0.00,0.00,22.0,0,0.06,-0.8,-0.8,782,973,80.4,13999,4473,306,369,82.9,361,419,86.2,84,129,65.1,1.2,-0.1,11,86,9,1,942,30,0,4,7,2,0,0,0,0,1,20,42,1.75,34,2,0,2,2,3,0.12,3,0,0,0,0,58,38,22,29,7,27,50.0,27,21,23,81,50,1,1203,87,14,9,42.9,10,47.6,796,2,23,20,721,87,80.2,88,22,1,45,0,1.15,17,30,-13,-0.54,-0.54,28.1,33.9,-5.8,-0.24,-0.01,1,39,0,0,0,124,28,50.0
330,Aiham Ousou,sy SYR,DF,Charleroi,24,2000,26,22,2020,22.4,0,0,0,0,0,0,3,0,0.9,0.9,0.1,1.0,14,62,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,12,4,33.3,0.53,0.18,0.00,0.00,11.6,0,0.07,-0.9,-0.9,856,987,86.7,17451,6724,252,281,89.7,467,501,93.2,119,174,68.4,0.4,-0.1,2,55,4,1,932,54,2,2,1,3,0,0,0,0,1,9,7,0.31,5,1,0,0,1,1,0.04,1,0,0,0,0,34,22,25,8,1,15,62.5,9,7,40,74,128,0,1257,198,18,1,33.3,2,66.7,782,0,15,5,720,78,74.8,89,21,4,14,1,1.31,25,25,0,0.00,0.00,35.2,26.0,+9.1,+0.41,-0.09,0,30,0,1,0,84,52,61.2
318,Aimé Omgba,nl NED,"MF,FW",Gent,21,2002,3,0,54,0.6,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,3,5,5,1.67,0.00,1.67,1.67,1.67,0.93,0.03,0.97,0.93,0.97,Matches,2,2,100.0,3.33,3.33,0.50,0.50,9.3,0,0.28,+0.4,+0.4,31,36,86.1,478,70,11,14,78.6,14,14,100.0,2,2,100.0,0.0,0.0,1,5,1,0,35,1,0,0,0,0,0,0,0,0,0,3,2,3.33,2,0,0,0,0,0,0.00,0,0,0,0,0,2,2,2,0,0,1,100.0,0,1,1,3,5,0,47,5,2,1,100.0,0,0.0,31,0,2,0,29,18,2.0,,0,3,18,0,0.54,3,0,+3,+5.00,+4.83,2.2,1.5,+0.7,+1.16,+1.38,0,0,0,0,0,5,2,33.3
,Alama Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,9,,,,,,,,,,,,,,,,,,,
286,Alan Minda,ec ECU,"FW,MF",Cercle Brugge,21,2003,26,14,1303,14.5,1,1,2,1,0,0,1,0,2.7,2.7,2.3,5.0,49,31,112,0.07,0.07,0.14,0.07,0.14,0.19,0.16,0.34,0.19,0.34,Matches,34,15,44.1,2.35,1.04,0.03,0.07,18.8,0,0.08,-1.7,-1.7,229,339,67.6,3699,725,110,151,72.8,101,136,74.3,14,30,46.7,1.4,-1.3,23,17,12,1,308,28,4,1,23,4,7,2,5,0,3,14,52,3.59,32,3,9,2,1,1,0.07,1,0,0,0,0,8,5,3,2,3,6,46.2,7,10,2,10,4,0,519,6,63,33,47.1,34,48.6,338,13,43,16,336,50,48.3,72,1,12,25,0,1.10,14,14,0,0.00,+0.97,18.0,18.3,-0.3,-0.02,+0.36,0,4,0,0,0,48,14,35.0
70,Alessio Castro-Montes,be BEL,"DF,FW",Union SG,27,1997,15,12,1027,11.4,1,3,4,1,0,0,2,0,0.9,0.9,3.5,4.5,34,43,90,0.09,0.26,0.35,0.09,0.35,0.08,0.31,0.39,0.08,0.39,Matches,12,3,25.0,1.05,0.26,0.08,0.33,22.3,2,0.08,+0.1,+0.1,419,575,72.9,7210,2924,210,251,83.7,152,193,78.8,46,94,48.9,2.8,-0.5,31,30,20,8,493,77,2,3,78,32,31,6,24,0,5,27,45,3.94,30,11,3,1,0,3,0.26,2,1,0,0,0,23,15,9,8,6,12,44.4,15,16,11,34,13,0,708,21,25,12,34.3,19,54.3,459,4,24,9,432,68,38.0,82,7,3,16,0,2.22,16,9,+7,+0.61,-0.30,21.0,11.5,+9.5,+0.83,+0.07,0,8,0,1,0,59,8,50.0
403,Alexandre Stanic,be BEL,"FW,MF",Charleroi,19,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.81,0.81,0.81,Matches,1,0,0.0,6.92,0.00,0.00,,11.8,0,0.12,-0.1,-0.1,2,2,100.0,43,11,0,0,,2,2,100.0,0,0,,0.0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1,0,,0,,2,0,0,0,3,13,0.5,,0,1,13,0,1.50,0,0,0,0.00,0.00,0.3,0.1,+0.2,+1.47,+1.05,0,1,0,0,0,0,1,50.0
404,Alexandre Stanic,be BEL,FW,Antwerp,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1,0,0.0,6.92,0.00,0.00,,11.8,0,0.12,-0.1,-0.1,2,2,100.0,43,11,0,0,,2,2,100.0,0,0,,0.0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1,0,,0,,2,0,0,0,3,13,0.5,,0,1,13,0,1.50,0,0,0,0.00,0.00,0.3,0.1,+0.2,+1.47,+1.05,0,1,0,0,0,0,1,50.0
66,Alexandro Calut,be BEL,"DF,MF",Standard Liège,21,2003,8,2,193,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,16,8,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,2,0,0.0,0.93,0.00,0.00,,19.8,0,0.03,-0.1,-0.1,83,109,76.1,1764,670,29,36,80.6,37,46,80.4,16,22,72.7,0.1,-0.1,1,11,2,1,105,3,0,2,6,1,0,0,0,0,1,4,6,2.78,6,0,0,0,0,0,0.00,0,0,0,0,0,3,1,1,2,0,1,14.3,6,1,5,8,6,0,132,5,1,1,50.0,1,50.0,94,0,3,0,86,24,7.1,37,0,6,20,6,1.25,1,4,-3,-1.40,-1.04,3.7,2.5,+1.2,+0.56,+0.86,0,4,0,0,0,10,5,55.6
